sample_id,source_sample_id,doc_id,block_idx,final_level,final_level_origin,raw_title,path_text,cleaned_title,skip_reason,clean_source,variant_idx,llm_status,llm_attempts,num_variants_per_source,is_t0,doc_granularity,calibration_confidence,calibrated_level
DF0009_00011_01,DF0009_00011,DF0009,11,H1,H1,一、科学统筹推进枢纽建设,,科学统筹推进枢纽建设,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00014_01,DF0009_00014,DF0009,14,H1,H1,二、加快完善枢纽规划布局,,加快完善枢纽规划布局,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00017_01,DF0009_00017,DF0009,17,H1,H1,三、加快推进基础设施建设,,加快推进基础设施建设,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00022_01,DF0009_00022,DF0009,22,H1,H1,四、积极培育多元经营主体,,积极培育多元经营主体,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00025_01,DF0009_00025,DF0009,25,H1,H1,五、大力拓展增量市场业务,,大力拓展增量市场业务,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00028_01,DF0009_00028,DF0009,28,H1,H1,六、扎实做好货物运输保障,,扎实做好货物运输保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00032_01,DF0009_00032,DF0009,32,H1,H1,七、提升枢纽智慧绿色水平,,提升枢纽智慧水平,,llm,1,ok,1,2,False,meso,0.92,T2
DF0009_00032_02,DF0009_00032,DF0009,32,H1,H1,七、提升枢纽智慧绿色水平,,提升枢纽绿色水平,,llm,2,ok,1,2,False,meso,0.92,T2
DF0009_00036_01,DF0009_00036,DF0009,36,H1,H1,八、继续做好航空资源保障,,继续做好航空资源保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00039_01,DF0009_00039,DF0009,39,H1,H1,九、全面改善枢纽运营环境,,全面改善枢纽运营环境,,llm,1,ok,1,1,False,meso,0.92,T2
DF0403_00012_01,DF0403_00012,DF0403,12,H1,H1,一、鼓励航空货运市场主体开行全货机定期航线，构建覆盖全球的货运航线网络,,鼓励航空货运市场主体开行全货机定期航线,,llm,1,ok,1,2,False,meso,0.95,T2
