leaf_id,path_ids,path_labels
L4_N3220a070,L1_N6e836104/L2_Nb80d9c6e/L3_N8b934feb/L4_N3220a070,基础设施与枢纽/提升航空货运枢纽集疏运能力/优化客货运航线网络/着力打造内畅外联航线网络
L4_N30b235c2,L1_N6e836104/L2_Nb80d9c6e/L3_N06f95f57/L4_N30b235c2,基础设施与枢纽/提升航空货运枢纽集疏运能力/系统推进航空客货枢纽建设/推动机场功能定位差异化发展
L4_N255c1775,L1_N6e836104/L2_Nb80d9c6e/L3_N06f95f57/L4_N255c1775,基础设施与枢纽/提升航空货运枢纽集疏运能力/系统推进航空客货枢纽建设/推进客货枢纽建设
L4_Nc38e3e2b,L1_N6e836104/L2_Nb80d9c6e/L3_N06f95f57/L4_Nc38e3e2b,基础设施与枢纽/提升航空货运枢纽集疏运能力/系统推进航空客货枢纽建设/加快补齐核心资源短板
L4_Nf737d76d,L1_N6e836104/L2_Nb80d9c6e/L3_Ne96a4ba3/L4_Nf737d76d,基础设施与枢纽/提升航空货运枢纽集疏运能力/增强航空货运基础保障能力/加强地面综合交通能力匹配
L4_N4b0d0e0c,L1_N6e836104/L2_Nb80d9c6e/L3_Ne96a4ba3/L4_N4b0d0e0c,基础设施与枢纽/提升航空货运枢纽集疏运能力/增强航空货运基础保障能力/优化空港口岸海关指定监管场地布局
L4_Nef2378d9,L1_N6e836104/L2_Nb80d9c6e/L3_Ne96a4ba3/L4_Nef2378d9,基础设施与枢纽/提升航空货运枢纽集疏运能力/增强航空货运基础保障能力/丰富空港口岸资质类型
L4_N848f47e5,L1_N6e836104/L2_Nb80d9c6e/L3_Ne96a4ba3/L4_N848f47e5,基础设施与枢纽/提升航空货运枢纽集疏运能力/增强航空货运基础保障能力/统筹完善机场航空货运保障设施设备
L4_Na052476c,L1_N6e836104/L2_N8228268e/L3_Nd571b089/L4_Na052476c,基础设施与枢纽/提升货运设施保障能力/提升装备专业化水平/提升机场货站智能化水平
L4_N85bf292e,L1_N6e836104/L2_Nadf8c478/L3_Nea54495c/L4_N85bf292e,基础设施与枢纽/完善机场货运基础设施/加快机场货运重大项目建设/加快电子商务体系建设
L4_Nfdd2124b,L1_N6e836104/L2_N08a346fe/L3_Nfdd2124b/L4_Nfdd2124b,基础设施与枢纽/加快构建国际航线网络/加快引进国内国际货运航司/加快引进国内国际货运航司
L4_Nc2b08089,L1_N6e836104/L2_N08a346fe/L3_Nfdd2124b/L4_Nc2b08089,基础设施与枢纽/加快构建国际航线网络/加快引进国内国际货运航司/积极引进新兴货运航司
L4_N328ead7e,L1_N6e836104/L2_N08a346fe/L3_Nfdd2124b/L4_N328ead7e,基础设施与枢纽/加快构建国际航线网络/加快引进国内国际货运航司/引进货运航司
L4_Nd79ac9d1,L1_N6e836104/L2_N08a346fe/L3_Nfdd2124b/L4_Nd79ac9d1,基础设施与枢纽/加快构建国际航线网络/加快引进国内国际货运航司/加快引进快递企业航司
L4_Nea99104a,L1_N6e836104/L2_N08a346fe/L3_N4c90cbd7/L4_Nea99104a,基础设施与枢纽/加快构建国际航线网络/完善国际航空货运航线/做大跨境电商和国际航空货运规模
L4_Na37f8214,L1_N6e836104/L2_N08a346fe/L3_Nf3b017a0/L4_Na37f8214,基础设施与枢纽/加快构建国际航线网络/完善国际货运航线/引导国际货运航线布局与制造业需求对接
L4_Nb967aed3,L1_N6e836104/L2_N08a346fe/L3_Nf3b017a0/L4_Nb967aed3,基础设施与枢纽/加快构建国际航线网络/完善国际货运航线/加强与国际机场合作
L4_Na5c9f759,L1_N6e836104/L2_Ne4cef915/L3_Nc97533ee/L4_Na5c9f759,基础设施与枢纽/增加全货机运力/引进航司提升运力/以运力发展带动航线布局
L4_N256f563d,L1_N6e836104/L2_Ne4cef915/L3_Nc97533ee/L4_N256f563d,基础设施与枢纽/增加全货机运力/引进航司提升运力/引进航司提升运力
L4_N27d838ea,L1_N6e836104/L2_Nbfebbffa/L3_N303eccc1/L4_N27d838ea,基础设施与枢纽/构建优质航线网络/打造精品航线网络/构建双扇形航线网络布局
