child_id,parent_id,decision,confidence,reason,support_counts,is_new_parent,human_action
L2_Nc81ee0b8,L1_N52f6895e,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N52f6895e"": 1}",False,keep
L2_N6d9c5da7,L1_N52f6895e,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N52f6895e"": 1}",False,keep
L2_Na5b73aaf,L1_N52f6895e,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N52f6895e"": 1}",False,keep
L2_N4f9516d8,L1_N52f6895e,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N52f6895e"": 1}",False,keep
L2_Nd825449f,L1_N52f6895e,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N52f6895e"": 1}",False,keep
L2_N649ec6c7,L1_N604d4c42,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N604d4c42"": 1}",False,keep
L2_N9f46f3fd,L1_N604d4c42,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N604d4c42"": 1}",False,keep
L2_Nbd50000d,L1_N604d4c42,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N604d4c42"": 1}",False,keep
L2_N306e9a75,L1_N604d4c42,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N604d4c42"": 2}",False,keep
L2_Nff3b5230,L1_N604d4c42,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N604d4c42"": 1}",False,keep
L2_N24b2144b,L1_N604d4c42,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N604d4c42"": 1}",False,keep
L2_Ne1879105,L1_N6bbea948,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6bbea948"": 1}",False,keep
L2_Na75f0b05,L1_N6bbea948,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6bbea948"": 1}",False,keep
L2_Nc8ab6162,L1_N6bbea948,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6bbea948"": 1}",False,keep
L2_Nfdcfd3c4,L1_N6bbea948,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6bbea948"": 1}",False,keep
L2_N9e86e873,L1_N6be998d8,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6be998d8"": 1}",False,keep
L2_N33b2d022,L1_N6be998d8,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6be998d8"": 1}",False,keep
L2_Nbde783bd,L1_N6be998d8,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6be998d8"": 1}",False,keep
L2_N0109e16a,L1_N6be998d8,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6be998d8"": 1}",False,keep
L2_N227589e0,L1_N6be998d8,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6be998d8"": 1}",False,keep
L2_Nd8a500a1,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N0a6e8ca5,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_Nb22f5139,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N4db8aea7,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_Nfeea0571,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_Nb80d9c6e,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N8228268e,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N5e2fe781,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N3d4844b8,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
