id,doc_id,file_name1,title,时效性,效力位阶,制定机关,发文字号,公布日期,full_text_path,admin_level,admin_name,level,prompt_variant,full_text_path_1120
164,DF0009,地方,上海市人民政府办公厅印发《关于进一步提升上海航空物流枢纽能级的若干措施》的通知,现行有效,地方规范性文件,上海市人民政府,沪府办发〔2024〕29号,2024,roundA_outputs\roundA_pass_texts\DF0009.txt,省级,上海市,A,A,roundB_outputs\test1120\DF0009.md
372,DF0217,地方,厦门市人民政府办公厅关于印发进一步加快跨境航空货运高质量发展若干措施的通知,现行有效,地方规范性文件,厦门市人民政府,厦府办规〔2022〕3号,2022,roundA_outputs\roundA_pass_texts\DF0217.txt,市级,厦门市,A,A,roundB_outputs\test1120\DF0217.md
453,DF0298,地方,宁波市人民政府办公厅关于加快宁波国际航空货运发展的实施意见,现行有效,地方规范性文件,宁波市人民政府,甬政办发〔2023〕6号,2023,roundA_outputs\roundA_pass_texts\DF0298.txt,市级,宁波市,A,A,roundB_outputs\test1120\DF0298.md
558,DF0403,地方,成都市人民政府关于印发加快推进成都航空货运枢纽建设扶持政策的通知,现行有效,地方规范性文件,成都市人民政府,成府发〔2020〕28号,2020,roundA_outputs\roundA_pass_texts\DF0403.md,市级,成都市,A,A,roundB_outputs\test1120\DF0403.md
614,DF0459,地方,江苏省政府办公厅关于加快推动国际航空货运发展的意见,现行有效,地方规范性文件,江苏省人民政府,苏政办发〔2024〕40号,2024,roundA_outputs\roundA_pass_texts\DF0459.txt,省级,江苏省,A,A,roundB_outputs\test1120\DF0459.md
697,DF0542,地方,浙江省人民政府办公厅关于加快国际航空货运发展的意见,现行有效,地方规范性文件,浙江省人民政府,浙政办发〔2021〕86号,2021,roundA_outputs\roundA_pass_texts\DF0542.txt,省级,浙江省,A,A,roundB_outputs\test1120\DF0542.md
709,DF0554,地方,海南省交通运输厅、海南省财政厅关于印发《海南省促进航空货运发展奖励办法》的通知,现行有效,地方规范性文件,海南省财政厅,琼交规字〔2024〕3号,2024,roundA_outputs\roundA_pass_texts\DF0554.txt,省级,海南省,A,A,roundB_outputs\test1120\DF0554.md
824,DF0669,地方,芜湖市财政局、芜湖市交通运输局关于印发《芜湖市航空货运物流发展奖励办法实施细则》的通知,现行有效,地方规范性文件,芜湖市交通运输局,财金〔2022〕269号,2022,roundA_outputs\roundA_pass_texts\DF0669.txt,市级,芜湖市,A,A,roundB_outputs\test1120\DF0669.md
978,DF0823,地方,黑龙江省交通运输厅、黑龙江省财政厅、哈尔滨市人民政府关于印发《哈尔滨航空货运奖励资金管理暂行办法》《哈尔滨航空客运奖励资金管理暂行办法》的通知,现行有效,地方规范性文件,哈尔滨市人民政府,黑交规〔2023〕6号,2023,roundA_outputs\roundA_pass_texts\DF0823.txt,市级,哈尔滨市,A,A,roundB_outputs\test1120\DF0823.md
1020,DF0865,地方,上海市推进上海国际航运中心建设领导小组关于印发《推进上海国际航空货运枢纽高质量发展行动方案(2023―2025年)》的通知,现行有效,地方工作文件,上海市交通委员会,沪国航〔2023〕1号,2023,roundA_outputs\roundA_pass_texts\DF0865.md,省级,上海市,A,A,roundB_outputs\test1120\DF0865.md
1331,DF1176,地方,天津市人民政府办公厅关于印发加快推进中国国际航空物流中心建设实施方案的通知,现行有效,地方工作文件,天津市人民政府,津政办发〔2021〕5号,2021,roundA_outputs\roundA_pass_texts\DF1176.txt,省级,天津市,A,A,roundB_outputs\test1120\DF1176.md
1340,DF1185,地方,天津市人民政府办公厅关于印发天津市航空物流发展“十四五”规划的通知,现行有效,地方工作文件,天津市人民政府,津政办发〔2022〕27号,2022,roundA_outputs\roundA_pass_texts\DF1185.txt,省级,天津市,A,A,roundB_outputs\test1120\DF1185.md
1477,DF1322,地方,合肥市人民政府办公室关于印发合肥国际航空货运集散中心建设工作推进方案的通知,现行有效,地方工作文件,合肥市人民政府,合政办秘〔2021〕27号,2021,roundA_outputs\roundA_pass_texts\DF1322.txt,市级,合肥市,A,A,roundB_outputs\test1120\DF1322.md
1914,DF1759,地方,广西壮族自治区交通运输厅关于印发南宁国际航空货运枢纽发展规划(2022—2050年)的通知,现行有效,地方工作文件,广西壮族自治区交通运输厅,桂交民航发〔2022〕102号,2022,roundA_outputs\roundA_pass_texts\DF1759.md,省级,广西壮族自治区,A,A,roundB_outputs\test1120\DF1759.md
2053,DF1898,地方,南通市人民政府办公室关于印发南通机场航空货运发展行动方案的通知,现行有效,地方工作文件,南通市人民政府,通政办发〔2023〕8号,2023,roundA_outputs\roundA_pass_texts\DF1898.txt,市级,南通市,A,A,roundB_outputs\test1120\DF1898.md
2738,DF2583,地方,海南省开放航权工作专班办公室关于印发《海南省促进航空物流高质量发展若干措施》的通知,现行有效,地方工作文件,海南省开放航权工作专班办公室,琼交民航〔2025〕23号,2025,roundA_outputs\roundA_pass_texts\DF2583.txt,省级,海南省,A,A,roundB_outputs\test1120\DF2583.md
