node_id,level,label,keywords,definition,provenance,size,confidence,human_label,human_action,human_notes,locked,is_new
L1_Nd2e7e4e3,L1,战略规划与政策协同,"战略统筹,顶层设计,政策协同,规章标准,治理",聚焦航空物流发展的顶层制度设计、跨部门政策协同与法规标准体系建设；不含具体基础设施或市场主体操作。,step2_8,0,1.0,战略规划与政策协同,keep,,False,False
L1_N32b4d1be,L1,基础设施与枢纽建设,"枢纽,机场,货运设施,集疏运,绿色升级",涵盖货运机场、枢纽布局、空地联运及设施新建/优化等硬件能力建设；不含运营服务或企业培育。,step2_8,0,1.0,基础设施与枢纽建设,keep,,False,False
L1_N47d528f3,L1,市场主体与服务网络,"市场主体,龙头企业,全链条,多式联运,服务能力",围绕企业引育、能力提升、网络构建及细分领域拓展的政策工具；不含基础设施投资或宏观治理。,step2_8,0,1.0,市场主体与服务网络,keep,,False,False
L1_N9adcfb9c,L1,通关便利与口岸效能,"通关,口岸,安检,查验,便利化",针对货物进出境流程优化、安检简化、口岸协同等效率提升措施；不包含航线或航权安排。,step2_8,0,1.0,通关便利与口岸效能,keep,,False,False
L1_Ne2bd7697,L1,智慧物流与技术创新,"智慧货运,电子化,智能设施,信息互联,技术装备",推动数字化、智能化技术在航空物流中应用的政策工具，如信息系统、智能设备与数据共享；不含一般性绿色或安全韧性措施。,step2_8,0,1.0,智慧物流与技术创新,keep,,False,False
L1_N12cea225,L1,绿色安全与韧性发展,"绿色低碳,安全韧性,应急保障,可持续",聚焦航空物流的环境可持续性、运行安全性及突发事件应对能力；不含日常运营效率或市场激励。,step2_8,0,1.0,绿色安全与韧性发展,keep,,False,False
L1_N52f6895e,L1,区域协同与产业联动,"区港联动,产业园区,区域合作,协同发展",促进机场与周边区域、重点产业带在空间与功能上深度融合的政策举措；不含单一主体或设施项目。,step2_8,0,1.0,区域协同与产业联动,keep,,False,False
L1_Nc2b39433,L1,运输运行保障,"货物运输,运行保障,物流畅通",样本标题语义宽泛且缺乏具体指向，现有L1虽有部分关键词（如'应急保障'）但整体覆盖不足；'货物运输保障'更偏向运行层面的综合支撑，未被任一L1完整涵盖。,link_t2_l1,1,0.65,运输运行保障,review,样本标题语义宽泛且缺乏具体指向，现有L1虽有部分关键词（如'应急保障'）但整体覆盖不足；'货物运输保障'更偏向运行层面的综合支撑，未被任一L1完整涵盖。,False,True
L1_N39371e6b,L1,增量市场拓展,"增量市场,业务拓展,市场开拓",样本语义过于宽泛且缺乏具体业务指向，现有L1均未覆盖‘拓展增量市场’这一战略导向型业务主题；同时仅1个样本不足以支撑可靠挂接,link_t2_l1,1,0.65,增量市场拓展,review,样本语义过于宽泛且缺乏具体业务指向，现有L1均未覆盖‘拓展增量市场’这一战略导向型业务主题；同时仅1个样本不足以支撑可靠挂接,False,True
L1_N4be5a183,L1,航空货运发展,"航空货运,全货机,定期航线",现有 L1 中虽有提及'市场主体'和'运输保障'，但均未聚焦航空货运或全货机航线这一具体政策方向；L1_N47d528f3 覆盖面过宽且关键词匹配度低（sim=0.19），不足以准确归类该 L2 节点。,link_t2_l1,1,0.72,航空货运发展,review,现有 L1 中虽有提及'市场主体'和'运输保障'，但均未聚焦航空货运或全货机航线这一具体政策方向；L1_N47d528f3 覆盖面过宽且关键词匹配度低（sim=0.19），不足以准确归类该 L2 节点。,False,True
L1_N21391b6c,L1,产业生态拓展,"延伸产业,业态丰富,产业链延伸",样本标题过于笼统且缺乏具体语义，现有 L1 均未明确覆盖“延伸产业”或“业态丰富化”主题；当前唯一样本无法支撑可靠挂接,link_t2_l1,1,0.65,产业生态拓展,review,样本标题过于笼统且缺乏具体语义，现有 L1 均未明确覆盖“延伸产业”或“业态丰富化”主题；当前唯一样本无法支撑可靠挂接,False,True
L1_Nec468dfb,L1,组织保障与推进机制,"组织推动,统筹协调,工作机制",L2 标题过于泛化且样本单一，'强化组织推动'属于执行机制而非具体政策主题，现有 L1 均聚焦具体领域，语义不匹配,link_t2_l1,1,0.65,组织保障与推进机制,review,L2 标题过于泛化且样本单一，'强化组织推动'属于执行机制而非具体政策主题，现有 L1 均聚焦具体领域，语义不匹配,False,True
