node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category,is_new
L2_Nc81ee0b8,L2,大力拓展货源腹地,seed-existing,1,1.0,大力拓展货源腹地,keep,,False,L1_N52f6895e,
L2_N6d9c5da7,L2,营造宜商宜业环境,seed-existing,1,1.0,营造宜商宜业环境,keep,,False,L1_N52f6895e,
L2_Na5b73aaf,L2,推动区港联动发展,seed-existing,1,1.0,推动区港联动发展,keep,,False,L1_N52f6895e,
L2_N4f9516d8,L2,大力发展航空经济,seed-existing,1,1.0,大力发展航空经济,keep,,False,L1_N52f6895e,
L2_Nd825449f,L2,延伸产业丰富业态,seed-existing,1,1.0,延伸产业丰富业态,keep,,False,L1_N52f6895e,
L2_N649ec6c7,L2,扎实做好货物运输保障,seed-existing,1,1.0,扎实做好货物运输保障,keep,,False,L1_N604d4c42,
L2_N9f46f3fd,L2,继续做好航空资源保障,seed-existing,1,1.0,继续做好航空资源保障,keep,,False,L1_N604d4c42,
L2_Nbd50000d,L2,持续提升服务保障能力,seed-existing,1,1.0,持续提升服务保障能力,keep,,False,L1_N604d4c42,
L2_N306e9a75,L2,强化基础能力保障,merge-high,2,0.9,强化基础能力保障,keep,,False,L1_N604d4c42,
L2_Nff3b5230,L2,聚集航空物流资源要素,seed-existing,1,1.0,聚集航空物流资源要素,keep,,False,L1_N604d4c42,
L2_N24b2144b,L2,加大政策扶持力度,seed-existing,1,1.0,加大政策扶持力度,keep,,False,L1_N604d4c42,
L2_Ne1879105,L2,提升枢纽智慧水平,seed-existing,1,1.0,提升枢纽智慧水平,keep,,False,L1_N6bbea948,
L2_Na75f0b05,L2,提升枢纽绿色水平,seed-existing,1,1.0,提升枢纽绿色水平,keep,,False,L1_N6bbea948,
L2_Nc8ab6162,L2,提高智慧韧性水平,seed-existing,1,1.0,提高智慧韧性水平,keep,,False,L1_N6bbea948,
L2_Nfdcfd3c4,L2,智慧货运高效管理,seed-existing,1,1.0,智慧货运高效管理,keep,,False,L1_N6bbea948,
L2_N9e86e873,L2,提升空港口岸作业效率,seed-existing,1,1.0,提升空港口岸作业效率,keep,,False,L1_N6be998d8,
L2_N33b2d022,L2,减免口岸及货站操作处置费用,seed-existing,1,1.0,减免口岸及货站操作处置费用,keep,,False,L1_N6be998d8,
L2_Nbde783bd,L2,优化航空口岸服务环境,seed-existing,1,1.0,优化航空口岸服务环境,keep,,False,L1_N6be998d8,
L2_N0109e16a,L2,优化拓展航空口岸服务功能,seed-existing,1,1.0,优化拓展航空口岸服务功能,keep,,False,L1_N6be998d8,
L2_N227589e0,L2,提升口岸服务效能,seed-existing,1,1.0,提升口岸服务效能,keep,,False,L1_N6be998d8,
L2_Nd8a500a1,L2,加快完善枢纽规划布局,seed-existing,1,1.0,加快完善枢纽规划布局,keep,,False,L1_N6e836104,
L2_N0a6e8ca5,L2,加快推进基础设施建设,seed-existing,1,1.0,加快推进基础设施建设,keep,,False,L1_N6e836104,
L2_Nb22f5139,L2,全面改善枢纽运营环境,seed-existing,1,1.0,全面改善枢纽运营环境,keep,,False,L1_N6e836104,
L2_N4db8aea7,L2,促进中转货量增长,seed-existing,1,1.0,促进中转货量增长,keep,,False,L1_N6e836104,
L2_Nfeea0571,L2,鼓励新设立国际航空货运转运分拨中心,seed-existing,1,1.0,鼓励新设立国际航空货运转运分拨中心,keep,,False,L1_N6e836104,
L2_Nb80d9c6e,L2,提升航空货运枢纽集疏运能力,seed-existing,1,1.0,提升航空货运枢纽集疏运能力,keep,,False,L1_N6e836104,
L2_N8228268e,L2,提升货运设施保障能力,seed-existing,1,1.0,提升货运设施保障能力,keep,,False,L1_N6e836104,
L2_N5e2fe781,L2,加强空地资源保障,seed-existing,1,1.0,加强空地资源保障,keep,,False,L1_N6e836104,
L2_N3d4844b8,L2,提升航空物流通达能力,seed-existing,1,1.0,提升航空物流通达能力,keep,,False,L1_N6e836104,
L2_N7d5270bf,L2,集中力量建设中国国际航空物流中心,seed-existing,1,1.0,集中力量建设中国国际航空物流中心,keep,,False,L1_N6e836104,
L2_N3c9cbbd0,L2,持续夯实机场空侧基础保障,seed-existing,1,1.0,持续夯实机场空侧基础保障,keep,,False,L1_N6e836104,
L2_N18198f00,L2,畅通机场陆侧货运物流体系,seed-existing,1,1.0,畅通机场陆侧货运物流体系,keep,,False,L1_N6e836104,
L2_Nadf8c478,L2,完善机场货运基础设施,seed-existing,1,1.0,完善机场货运基础设施,keep,,False,L1_N6e836104,
L2_N466127b4,L2,积极培育多元经营主体,seed-existing,1,1.0,积极培育多元经营主体,keep,,False,L1_N70e79b29,
L2_N10f72f08,L2,大力拓展增量市场业务,merge-high,2,0.95,大力拓展增量市场业务,keep,,False,L1_N70e79b29,
L2_N08a346fe,L2,加快构建国际航线网络,seed-existing,1,1.0,加快构建国际航线网络,keep,,False,L1_N70e79b29,
L2_N709fdde1,L2,培育市场主体,merge-high,4,0.9,培育市场主体,keep,,False,L1_N70e79b29,
L2_N9a2b3002,L2,鼓励航空货运市场主体开行全货机定期航线,seed-existing,1,1.0,鼓励航空货运市场主体开行全货机定期航线,keep,,False,L1_N70e79b29,
L2_N8c3b0cad,L2,构建覆盖全球的货运航线网络,seed-existing,1,1.0,构建覆盖全球的货运航线网络,keep,,False,L1_N70e79b29,
L2_Nd77a7607,L2,鼓励航空货运市场主体向机场集货,seed-existing,1,1.0,鼓励航空货运市场主体向机场集货,keep,,False,L1_N70e79b29,
L2_N9ef25cc0,L2,促进航空货量增长,seed-existing,1,1.0,促进航空货量增长,keep,,False,L1_N70e79b29,
L2_N69b20189,L2,鼓励新设立基地货运航空公司,seed-existing,1,1.0,鼓励新设立基地货运航空公司,keep,,False,L1_N70e79b29,
L2_Ne4cef915,L2,增加全货机运力,seed-existing,1,1.0,增加全货机运力,keep,,False,L1_N70e79b29,
L2_N8e687f9d,L2,构建全球航空货运网络,seed-existing,1,1.0,构建全球航空货运网络,keep,,False,L1_N70e79b29,
L2_Nf64b0b03,L2,提高物流服务保障效率,seed-existing,1,1.0,提高物流服务保障效率,keep,,False,L1_N70e79b29,
L2_Nd0b47c6e,L2,构建全球国际航线网络,seed-existing,1,1.0,构建全球国际航线网络,keep,,False,L1_N70e79b29,
L2_N172cd711,L2,集聚优质市场主体,seed-existing,1,1.0,集聚优质市场主体,keep,,False,L1_N70e79b29,
L2_N2f32c229,L2,增强航空物流服务能力,seed-existing,1,1.0,增强航空物流服务能力,keep,,False,L1_N70e79b29,
L2_Nc3c2ff15,L2,丰富多式联运体系,merge-high,2,0.95,丰富多式联运体系,keep,,False,L1_N70e79b29,
L2_Nd39445b0,L2,大力开拓航空物流新兴业态,seed-existing,1,1.0,大力开拓航空物流新兴业态,keep,,False,L1_N70e79b29,
L2_N926fa20a,L2,优化拓展货运航线网络,seed-existing,1,1.0,优化拓展货运航线网络,keep,,False,L1_N70e79b29,
L2_N3782a8fc,L2,培育关键市场主体,seed-existing,1,1.0,培育关键市场主体,keep,,False,L1_N70e79b29,
L2_Naaad89dc,L2,引入关键市场主体,seed-existing,1,1.0,引入关键市场主体,keep,,False,L1_N70e79b29,
L2_Nbfebbffa,L2,构建优质航线网络,seed-existing,1,1.0,构建优质航线网络,keep,,False,L1_N70e79b29,
L2_N13abaa5a,L2,增强货运保障能力,seed-existing,1,1.0,增强货运保障能力,keep,,False,L1_N70e79b29,
L2_N68c2aa93,L2,提升货源组织能力,seed-existing,1,1.0,提升货源组织能力,keep,,False,L1_N70e79b29,
L2_N8ed52793,L2,强化政策引导支持,seed-existing,1,1.0,强化政策引导支持,keep,,False,L1_N762e6689,
L2_N6db20b9a,L2,提升服务管理水平,merge-high,2,1.0,提升服务管理水平,keep,,False,L1_N762e6689,
L2_Nd5d2d592,L2,强化战略统筹引领,seed-existing,1,1.0,强化战略统筹引领,keep,,False,L1_N762e6689,
L2_N242a428d,L2,加强政策协同创新,seed-existing,1,1.0,加强政策协同创新,keep,,False,L1_N762e6689,
L2_N6da1b013,L2,注重规划支撑引领,seed-existing,1,1.0,注重规划支撑引领,keep,,False,L1_N762e6689,
L2_Ne455f9ae,L2,自贸赋能临空产业,classify-llm,1,0.72,自贸赋能临空产业,keep,候选父节点均聚焦航空口岸服务效率或环境，而子节点强调自贸试验区制度优势对临空产业的赋能作用，主题侧重不同；现有父节点未涵盖‘自贸试验区’与‘产业发展’的结合点，需新建更贴合的上位节点。,False,L1_N6be998d8,True
L2_N60c3ab56,L2,构建多式联运物流体系,classify-llm,1,0.75,构建多式联运物流体系,keep,候选父节点均聚焦航空物流，而子节点强调‘大物流’与‘多式联运’（含铁路、公路、水运等），主题范围更广且模式不同，现有父节点覆盖不全,False,L1_N6e836104,True
L2_N27ba78e2,L2,发展临空经济,classify-llm,1,0.85,发展临空经济,keep,候选父节点均聚焦航空物流或市场主体，未涵盖‘临空经济’这一综合性区域发展战略主题,False,L1_N70e79b29,True
L2_N640a2992,L2,优化供应链管理,classify-llm,1,0.85,优化供应链管理,keep,候选父节点均聚焦航空物流或临空经济，与‘供应链管理’主题不一致；子节点语义独立且通用，需新建更上位的供应链相关父节点,False,L1_N70e79b29,True
