doc_id,block_idx,block_text,final_type_label,final_level,是否聚类
DF0009,14,"　　二、加快完善枢纽规划布局
",heading,H1,是
DF0009,15,"（三）根据形势任务发展需要，适时启动《上海国际航空枢纽战略规划》修编工作，进一步深化明确上海两场功能定位。（责任单位：民航华东地区管理局、市交通委、机场集团）
",heading,NA,否
DF0009,16,"（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）
",heading,NA,否
DF0009,17,"　　三、加快推进基础设施建设
",heading,H1,是
DF0009,18,"（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）
",normal,NA,否
DF0009,19,"（六）加快推进浦东国际机场第五跑道军地协议签订、飞行程序调整等前期工作，推动第五跑道尽快开放使用。（责任单位：市发展改革委、民航华东地区管理局、机场集团、民航华东空管局）
",normal,NA,否
DF0009,20,"（七）持续完善上海两场及周边地区综合交通规划方案，加快推进周邓快速路、漕宝快速路、G15等机场地区对外道路通道项目建设。（责任单位：市交通委、浦东新区政府）
",normal,NA,否
DF0009,21,"（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）
",normal,NA,否
DF0009,22,"　　四、积极培育多元经营主体
",heading,H1,是
DF0009,23,"（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）
",heading,NA,否
DF0009,24,"（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）
",heading,NA,否
DF0009,25,"　　五、大力拓展增量市场业务
",heading,H1,是
DF0009,26,"（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）
",heading,NA,否
DF0009,27,"（十二）大力发展多式联运业务，加快推进东方枢纽空铁一体化规划建设，持续推动空铁联运业务拓展。（责任单位：市交通委、民航华东地区管理局、中国铁路上海局集团、东方枢纽集团、机场集团、东航集团、上港集团）
",heading,NA,否
DF0009,28,"　　六、扎实做好货物运输保障
",heading,H1,是
DF0009,29,"（十三）推动航空物流、生产制造、跨境电商等企业合作，持续加大电子芯片、生物医药等高附加值产品运输保障，加强对生活类跨境电商货物的运输保障，关注工业品电商跨境发展新趋势，不断优化上海航空口岸货物运输结构。（责任单位：市交通委、市商务委（市口岸办）、市经济信息化委、基地航空公司）
",normal,NA,否
