node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category,is_new
L3_Nc5166684,L3,加快提升揽货集货能力,seed-existing,1,1.0,加快提升揽货集货能力,keep,,False,L1_N52f6895e,
L3_Nf50b9a9d,L3,推进临空经济发展,seed-existing,1,1.0,推进临空经济发展,keep,,False,L1_N52f6895e,
L3_Nb1103d45,L3,促进信息资源互联共享,seed-existing,1,1.0,促进信息资源互联共享,keep,,False,L1_N52f6895e,
L3_N792037db,L3,优化简化货物安检流程,seed-existing,1,1.0,优化简化货物安检流程,keep,,False,L1_N52f6895e,
L3_N42402ab1,L3,提升口岸通关便利化水平,seed-existing,1,1.0,提升口岸通关便利化水平,keep,,False,L1_N52f6895e,
L3_Nea04744e,L3,加强国际机场与周边区域联动,seed-existing,1,1.0,加强国际机场与周边区域联动,keep,,False,L1_N52f6895e,
L3_N724f0a0b,L3,加强与重点产业园区对接,seed-existing,1,1.0,加强与重点产业园区对接,keep,,False,L1_N52f6895e,
L3_N2c29b561,L3,促进航空货运相关产业发展,seed-existing,1,1.0,促进航空货运相关产业发展,keep,,False,L1_N52f6895e,
L3_N97559905,L3,延伸航空物流链条,seed-existing,1,1.0,延伸航空物流链条,keep,,False,L1_N52f6895e,
L3_Nc3d125b3,L3,加强港区高效联动,seed-existing,1,1.0,加强港区高效联动,keep,,False,L1_N52f6895e,
L3_Nd93e3e25,L3,发展临空经济,seed-existing,1,1.0,发展临空经济,keep,,False,L1_N52f6895e,
L3_N07990008,L3,加快机场基础设施建设,seed-existing,1,1.0,加快机场基础设施建设,keep,,False,L1_N604d4c42,
L3_N133b0ed2,L3,推进集疏运体系建设,seed-existing,1,1.0,推进集疏运体系建设,keep,,False,L1_N604d4c42,
L3_Na5cf0ba6,L3,完善航空物流配套设施,seed-existing,1,1.0,完善航空物流配套设施,keep,,False,L1_N604d4c42,
L3_N84a28744,L3,打造高效便利的营商环境,seed-existing,1,1.0,打造高效便利的营商环境,keep,,False,L1_N604d4c42,
L3_N3ab0a1a9,L3,加快基础设施建设,merge-high,2,0.9,加快基础设施建设,keep,,False,L1_N604d4c42,
L3_N77a3b68b,L3,推进集疏运体系建设,seed-existing,1,1.0,推进集疏运体系建设,keep,,False,L1_N604d4c42,
L3_Nb148a883,L3,提升设施装备供给水平,seed-existing,1,1.0,提升设施装备供给水平,keep,,False,L1_N604d4c42,
L3_N48dcd88a,L3,助力基地航空公司发展,seed-existing,1,1.0,助力基地航空公司发展,keep,,False,L1_N604d4c42,
L3_N9815851a,L3,大力培育适航产业,seed-existing,1,1.0,大力培育适航产业,keep,,False,L1_N604d4c42,
L3_N8458a8a8,L3,完善航线网络布局,seed-existing,1,1.0,完善航线网络布局,keep,,False,L1_N604d4c42,
L3_N98ef0212,L3,优化货物运输组织,seed-existing,1,1.0,优化货物运输组织,keep,,False,L1_N604d4c42,
L3_Nc21e1f2f,L3,完善财政奖补机制,seed-existing,1,1.0,完善财政奖补机制,keep,,False,L1_N604d4c42,
L3_N71ce64b1,L3,积极争取政策倾斜,seed-existing,1,1.0,积极争取政策倾斜,keep,,False,L1_N604d4c42,
L3_Ne6cde812,L3,完善配套政策支持,seed-existing,1,1.0,完善配套政策支持,keep,,False,L1_N604d4c42,
L3_N1b187997,L3,提升航空货运智慧化水平,seed-existing,1,1.0,提升航空货运智慧化水平,keep,,False,L1_N6bbea948,
L3_Nbf5cb6ef,L3,提升航空货运安全韧性水平,seed-existing,1,1.0,提升航空货运安全韧性水平,keep,,False,L1_N6bbea948,
L3_N5b8fd671,L3,推动航空货运绿色低碳发展,seed-existing,1,1.0,推动航空货运绿色低碳发展,keep,,False,L1_N6bbea948,
L3_N09522c48,L3,推进智慧平台建设,seed-existing,1,1.0,推进智慧平台建设,keep,,False,L1_N6bbea948,
L3_Nfc162f8c,L3,加强新兴技术应用,seed-existing,1,1.0,加强新兴技术应用,keep,,False,L1_N6bbea948,
L3_N70eeee1d,L3,提升运营管理能力,seed-existing,1,1.0,提升运营管理能力,keep,,False,L1_N6bbea948,
L3_Ne42076c0,L3,推进智慧货运高效管理,seed-existing,1,1.0,推进智慧货运高效管理,keep,,False,L1_N6bbea948,
L3_N8283673b,L3,丰富航空口岸功能,seed-existing,1,1.0,丰富航空口岸功能,keep,,False,L1_N6be998d8,
L3_Nce212504,L3,提升口岸通关便利化,seed-existing,1,1.0,提升口岸通关便利化,keep,,False,L1_N6be998d8,
L3_N53ff6178,L3,提高口岸通关便利化水平,seed-existing,1,1.0,提高口岸通关便利化水平,keep,,False,L1_N6be998d8,
L3_N4b540045,L3,加快大通关基地建设运营,seed-existing,1,1.0,加快大通关基地建设运营,keep,,False,L1_N6be998d8,
L3_N1da589d2,L3,推动口岸和综合保税区功能融合,seed-existing,1,1.0,推动口岸和综合保税区功能融合,keep,,False,L1_N6be998d8,
L3_Ne455f9ae,L3,发挥自贸试验区优势赋能临空产业发展,seed-existing,1,1.0,发挥自贸试验区优势赋能临空产业发展,keep,,False,L1_N6be998d8,
L3_N7e9ff5f6,L3,提升航空口岸便利化水平,seed-existing,1,1.0,提升航空口岸便利化水平,keep,,False,L1_N6be998d8,
L3_N08db7b5b,L3,加强基础设施建设,seed-existing,1,1.0,加强基础设施建设,keep,,False,L1_N6e836104,
L3_Nd571b089,L3,提升装备专业化水平,seed-existing,1,1.0,提升装备专业化水平,keep,,False,L1_N6e836104,
L3_Nea54495c,L3,加快机场货运重大项目建设,seed-existing,1,1.0,加快机场货运重大项目建设,keep,,False,L1_N6e836104,
L3_N965cfc12,L3,提高航线网络全球通达性,seed-existing,1,1.0,提高航线网络全球通达性,keep,,False,L1_N6e836104,
L3_Nba68b284,L3,完善机场地区交通集疏运体系,seed-existing,1,1.0,完善机场地区交通集疏运体系,keep,,False,L1_N6e836104,
L3_Nbccd8d12,L3,增加机场高峰小时容量,seed-existing,1,1.0,增加机场高峰小时容量,keep,,False,L1_N6e836104,
L3_N8b934feb,L3,优化客货运航线网络,seed-existing,1,1.0,优化客货运航线网络,keep,,False,L1_N6e836104,
L3_N7c0dd099,L3,强化货运枢纽地位,seed-existing,1,1.0,强化货运枢纽地位,keep,,False,L1_N6e836104,
L3_Nd003c070,L3,加快中国国际航空物流中心载体建设,seed-existing,1,1.0,加快中国国际航空物流中心载体建设,keep,,False,L1_N6e836104,
L3_N252b74e4,L3,拓展航空物流货源市场,seed-existing,1,1.0,拓展航空物流货源市场,keep,,False,L1_N6e836104,
L3_N51765af4,L3,优化航空物流产业生态系统,seed-existing,1,1.0,优化航空物流产业生态系统,keep,,False,L1_N6e836104,
L3_N5c977f92,L3,引育货运基地航空公司,seed-existing,1,1.0,引育货运基地航空公司,keep,,False,L1_N6e836104,
L3_N9ae5e272,L3,统筹一级货站功能,seed-existing,1,1.0,统筹一级货站功能,keep,,False,L1_N6e836104,
L3_Nbf6e7bf3,L3,完善货运航线网络,seed-existing,1,1.0,完善货运航线网络,keep,,False,L1_N6e836104,
L3_N701e7011,L3,优化空空中转业务,seed-existing,1,1.0,优化空空中转业务,keep,,False,L1_N6e836104,
L3_N14530829,L3,增强机场集疏运能力,seed-existing,1,1.0,增强机场集疏运能力,keep,,False,L1_N6e836104,
L3_N60c3ab56,L3,构建大物流多式联运体系,seed-existing,1,1.0,构建大物流多式联运体系,keep,,False,L1_N6e836104,
L3_N06f95f57,L3,系统推进航空客货枢纽建设,seed-existing,1,1.0,系统推进航空客货枢纽建设,keep,,False,L1_N6e836104,
L3_Ne96a4ba3,L3,增强航空货运基础保障能力,seed-existing,1,1.0,增强航空货运基础保障能力,keep,,False,L1_N6e836104,
L3_N4c90cbd7,L3,完善国际航空货运航线,seed-existing,1,1.0,完善国际航空货运航线,keep,,False,L1_N70e79b29,
L3_Nb67e0092,L3,提升国际货运中转功能,seed-existing,1,1.0,提升国际货运中转功能,keep,,False,L1_N70e79b29,
L3_N571de1aa,L3,大力招引货运航空公司,seed-existing,1,1.0,大力招引货运航空公司,keep,,False,L1_N70e79b29,
L3_N33c0e278,L3,引进培育总部型货代企业,seed-existing,1,1.0,引进培育总部型货代企业,keep,,False,L1_N70e79b29,
L3_N303eccc1,L3,打造精品航线网络,seed-existing,1,1.0,打造精品航线网络,keep,,False,L1_N70e79b29,
L3_Ne5a02d74,L3,提升中转联运功能,seed-existing,1,1.0,提升中转联运功能,keep,,False,L1_N70e79b29,
L3_N74ff71bd,L3,强化行业资源供给,seed-existing,1,1.0,强化行业资源供给,keep,,False,L1_N70e79b29,
L3_Nc56580b0,L3,提升运力供给水平,seed-existing,1,1.0,提升运力供给水平,keep,,False,L1_N70e79b29,
L3_Nb2d030f0,L3,培育物流龙头企业,seed-existing,1,1.0,培育物流龙头企业,keep,,False,L1_N70e79b29,
L3_N8f8e91cf,L3,提升货源组织能力,seed-existing,2,1.0,提升货源组织能力,keep,,False,L1_N70e79b29,
L3_N27ba78e2,L3,推进临空经济发展,seed-existing,1,1.0,推进临空经济发展,keep,,False,L1_N70e79b29,
L3_Ned79e54c,L3,强化服务保障能力,seed-existing,1,1.0,强化服务保障能力,keep,,False,L1_N70e79b29,
L3_Nb394347b,L3,优化简化安检流程,seed-existing,1,1.0,优化简化安检流程,keep,,False,L1_N70e79b29,
L3_N22d9d7b1,L3,提升口岸通关效率,seed-existing,1,1.0,提升口岸通关效率,keep,,False,L1_N70e79b29,
L3_N62ed0091,L3,推进智慧物流建设,seed-existing,1,1.0,推进智慧物流建设,keep,,False,L1_N70e79b29,
L3_Nccfe417c,L3,完善国际航空货运航线,seed-existing,1,1.0,完善国际航空货运航线,keep,,False,L1_N70e79b29,
L3_N9ecfe06c,L3,提升国际货运中转功能,seed-existing,1,1.0,提升国际货运中转功能,keep,,False,L1_N70e79b29,
L3_N86ef6403,L3,加大国际航空货运航班时刻供给,seed-existing,1,1.0,加大国际航空货运航班时刻供给,keep,,False,L1_N70e79b29,
L3_N22dcecc8,L3,引进培育货运龙头企业,seed-existing,1,1.0,引进培育货运龙头企业,keep,,False,L1_N70e79b29,
