node_id,L1,L2,L3
L4_N3220a070,基础设施与枢纽,提升航空货运枢纽集疏运能力,优化客货运航线网络
L4_N30b235c2,基础设施与枢纽,提升航空货运枢纽集疏运能力,系统推进航空客货枢纽建设
L4_N255c1775,基础设施与枢纽,提升航空货运枢纽集疏运能力,系统推进航空客货枢纽建设
L4_Nc38e3e2b,基础设施与枢纽,提升航空货运枢纽集疏运能力,系统推进航空客货枢纽建设
L4_Nf737d76d,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_N4b0d0e0c,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_Nef2378d9,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_N848f47e5,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_Na052476c,基础设施与枢纽,提升货运设施保障能力,提升装备专业化水平
L4_N85bf292e,基础设施与枢纽,完善机场货运基础设施,加快机场货运重大项目建设
L4_Nfdd2124b,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_Nc2b08089,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_N328ead7e,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_Nd79ac9d1,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_Nea99104a,基础设施与枢纽,加快构建国际航线网络,完善国际航空货运航线
L4_Na37f8214,基础设施与枢纽,加快构建国际航线网络,完善国际货运航线
L4_Nb967aed3,基础设施与枢纽,加快构建国际航线网络,完善国际货运航线
L4_Na5c9f759,基础设施与枢纽,增加全货机运力,引进航司提升运力
L4_N256f563d,基础设施与枢纽,增加全货机运力,引进航司提升运力
L4_N27d838ea,基础设施与枢纽,构建优质航线网络,打造精品航线网络
L4_N31c774ef,市场主体与网络,鼓励新设立基地货运航空公司,大力招引货运航空公司
L4_N219c5452,市场主体与网络,鼓励新设立基地货运航空公司,建设货运包机运营基地
L4_N61514be4,市场主体与网络,鼓励新设立基地货运航空公司,建设货运包机运营基地
L4_N8d005590,市场主体与网络,鼓励新设立基地货运航空公司,建设货运包机运营基地
L4_Nbc7f4787,市场主体与网络,提高物流服务保障效率,推进智慧物流建设
L4_N6bcc2030,市场主体与网络,增强航空物流服务能力,加快国际航空物流中心载体建设
L4_Na35280bb,市场主体与网络,完善多式联运体系,推动多式联运发展
L4_N3ac13c17,市场主体与网络,完善多式联运体系,探索开展多式联运
