child_id,parent_id,decision,confidence,reason,human_parent_id,human_action,human_notes,is_new_parent
L3_N48dcd88a,L2_Nff3b5230,fallback_top1,0.0,LLM未明确，采用Top1,L2_Nff3b5230,review,,False
L3_N9815851a,L2_N3d4844b8,fallback_top1,0.0,LLM未明确，采用Top1,L2_N3d4844b8,review,,False
L3_Nbccd8d12,L2_N3d4844b8,fallback_top1,0.0,LLM未明确，采用Top1,L2_N3d4844b8,review,,False
L3_N8b934feb,L2_Nb80d9c6e,fallback_top1,0.0,LLM未明确，采用Top1,L2_Nb80d9c6e,review,,False
L3_Na4101ee7,L2_N13abaa5a,fallback_top1,0.0,LLM未明确，采用Top1,L2_N13abaa5a,review,,False
L3_N2123971e,L2_N13abaa5a,fallback_top1,0.0,LLM未明确，采用Top1,L2_N13abaa5a,review,,False
L3_Nb0e7dd4f,L2_N0a6e8ca5,llm_assign,0.85,“加快数字基建建设”属于基础设施建设的子类，与候选父节点1在语义和主题上高度一致，且‘数字基建’是‘基础设施’的合理细化方向,L2_N0a6e8ca5,keep,,False
L3_N4217ca37,L2_Nb80d9c6e,fallback_top1,0.0,LLM未明确，采用Top1,L2_Nb80d9c6e,review,,False
L3_N9a4920b0,L2_Nd8a500a1,fallback_top1,0.0,LLM未明确，采用Top1,L2_Nd8a500a1,review,,False
L3_N2e5f08e0,L2_N45607115,fallback_top1,0.0,LLM未明确，采用Top1,L2_N45607115,review,,False
L3_N47efd62f,L2_N45607115,fallback_top1,0.0,LLM未明确，采用Top1,L2_N45607115,review,,False
L3_Ndfa51e03,L2_Nc01148b0,fallback_top1,0.0,LLM未明确，采用Top1,L2_Nc01148b0,review,,False
L3_N8aec14d5,L2_N77ba01f7,fallback_top1,0.0,LLM未明确，采用Top1,L2_N77ba01f7,review,,False
L3_Nde73eebf,L2_N77ba01f7,fallback_top1,0.0,LLM未明确，采用Top1,L2_N77ba01f7,review,,False
L3_Ne477efa0,L2_N77ba01f7,fallback_top1,0.0,LLM未明确，采用Top1,L2_N77ba01f7,review,,False
L3_Na1b5b8e4,L2_N2f32c229,fallback_top1,0.0,LLM未明确，采用Top1,L2_N2f32c229,review,,False
L3_Nd3c80123,L2_Ne4cef915,fallback_top1,0.0,LLM未明确，采用Top1,L2_Ne4cef915,review,,False
L3_N82cdf37d,L2_N2f32c229,fallback_top1,0.0,LLM未明确，采用Top1,L2_N2f32c229,review,,False
L3_Nc92a3618,L2_N2f1afa59,fallback_top1,0.0,LLM未明确，采用Top1,L2_N2f1afa59,review,,False
L3_Nf3b017a0,L2_N8c3b0cad,fallback_top1,0.0,LLM未明确，采用Top1,L2_N8c3b0cad,review,,False
L3_N198ad664,L2_Nbfebbffa,fallback_top1,0.0,LLM未明确，采用Top1,L2_Nbfebbffa,review,,False
L3_Nc97533ee,L2_Ne4cef915,fallback_top1,0.0,LLM未明确，采用Top1,L2_Ne4cef915,review,,False
L3_N0f65b0c3,L2_N2f1afa59,fallback_top1,0.0,LLM未明确，采用Top1,L2_N2f1afa59,review,,False
L3_N65606e29,L2_N8c3b0cad,fallback_top1,0.0,LLM未明确，采用Top1,L2_N8c3b0cad,review,,False
L3_Nd290d812,L2_N2f1afa59,llm_assign,0.85,候选1语义高度相关，'丰富多式联运体系'自然涵盖'探索开展多式联运'，且cos相似度达0.84，虽Jaccard较低但因成员示例单一可接受,L2_N2f1afa59,keep,,False
L3_Nf2262c1d,L2_N7d4bb1b0,llm_assign,0.88,子节点聚焦提升综合性机场现有货运设施能力，与候选父节点1‘提升综合性机场货运服务品质’在对象（综合性机场）、目标（货运能力/服务）上高度一致；尽管jac较低，但cos相似度高，语义匹配紧密,L2_N7d4bb1b0,keep,,False
L3_N43f95e79,L2_N7d4bb1b0,llm_assign,0.85,子节点聚焦提升综合性机场现有货运设施的利用效率，与候选父节点1‘提升综合性机场货运服务品质’在对象（综合性机场货运）和目标（优化货运能力）上高度一致；尽管‘服务品质’略偏软性，但设施利用率是服务品质的重要支撑维度，且语义相似度（cos=0.92）极高，综合得分最高。,L2_N7d4bb1b0,keep,,False
L3_Nff8b1407,L2_N7d4bb1b0,fallback_top1,0.0,LLM未明确，采用Top1,L2_N7d4bb1b0,review,,False
L3_N56344298,L2_N7d4bb1b0,llm_assign,0.89,候选1语义高度一致，且明确包含'机场货运服务品质'这一核心对象与目标,L2_N7d4bb1b0,keep,,False
L3_N6207c89d,L2_N7d4bb1b0,fallback_top1,0.0,LLM未明确，采用Top1,L2_N7d4bb1b0,review,,False
L3_N97559905,L2_Nd825449f,llm_assign,0.68,语义上'延伸航空物流链条'属于通过拓展产业链条来丰富业态的一种形式，与父节点'延伸产业丰富业态'在目标和逻辑上一致；尽管Jaccard相似度较低，但余弦相似度较高（0.77），表明语义向量接近，整体可归入该父节点。,L2_Nd825449f,keep,,False
L3_Nc3d125b3,L2_Nc3d125b3,llm_create_parent,0.72,候选父节点'延伸产业丰富业态'侧重产业形态拓展，与'加强港区高效联动'强调的区域协作、流程协同主题不匹配；且Jaccard相似度为0，语义关联弱，需新建更贴合的父节点。,L2_Nc3d125b3,keep,,True
