doc_id,sample_id,head_level,assigned_l1_id,round,confidence,notes
DF0009,DF0009_00011_01,T2,L1_N32b4d1be,1,0.88,
DF0009,DF0009_00014_01,T2,L1_N32b4d1be,1,0.88,
DF0009,DF0009_00017_01,T2,L1_N32b4d1be,1,0.88,
DF0009,DF0009_00022_01,T2,L1_N47d528f3,1,0.88,
DF0009,DF0009_00025_01,T2,L1_N47d528f3,1,0.78,
DF0009,DF0009_00028_01,T2,L1_N12cea225,1,0.78,
DF0009,DF0009_00032_01,T2,L1_Ne2bd7697,1,0.88,
DF0009,DF0009_00032_02,T2,L1_N12cea225,1,0.88,
DF0009,DF0009_00036_01,T2,L1_N32b4d1be,1,0.78,
DF0009,DF0009_00039_01,T2,L1_N32b4d1be,1,0.82,
DF0403,DF0403_00012_01,T2,L1_N47d528f3,1,0.88,
DF0403,DF0403_00012_02,T2,L1_N47d528f3,1,0.82,
DF0403,DF0403_00019_01,T2,L1_N47d528f3,1,0.88,
DF0403,DF0403_00019_02,T2,L1_N47d528f3,1,0.78,
DF0403,DF0403_00019_03,T2,L1_N9adcfb9c,1,0.82,
DF0403,DF0403_00027_01,T2,L1_N47d528f3,1,0.88,
DF0403,DF0403_00027_02,T2,L1_N47d528f3,1,0.82,
DF0403,DF0403_00032_01,T2,L1_N32b4d1be,1,0.88,
DF0403,DF0403_00032_02,T2,L1_N32b4d1be,1,0.92,
DF0403,DF0403_00038_01,T2,L1_N9adcfb9c,1,0.88,
DF0403,DF0403_00038_02,T2,L1_N9adcfb9c,1,0.88,
DF1176,DF1176_00023_01,T2,L1_N32b4d1be,1,0.82,
DF1176,DF1176_00028_01,T2,L1_N9adcfb9c,1,0.88,
DF1176,DF1176_00033_01,T2,L1_N47d528f3,1,0.88,
DF1176,DF1176_00038_01,T2,L1_N47d528f3,1,0.88,
DF1176,DF1176_00043_01,T2,L1_N32b4d1be,1,0.82,
DF1176,DF1176_00048_01,T2,L1_Nd2e7e4e3,1,0.78,
DF1176,DF1176_00048_02,T2,L1_Nd2e7e4e3,1,0.78,
DF1759,DF1759_00054_01,T2,L1_N47d528f3,1,0.82,
DF1759,DF1759_00083_01,T2,L1_N32b4d1be,1,0.82,
DF1759,DF1759_00120_01,T2,L1_N47d528f3,1,0.82,
DF1759,DF1759_00138_01,T2,L1_Ne2bd7697,1,0.92,
DF1759,DF1759_00164_01,T2,L1_N52f6895e,1,0.82,
ZY0103,ZY0103_00020_01,T2,L1_N32b4d1be,1,0.92,
ZY0103,ZY0103_00020_02,T2,L1_N47d528f3,1,0.82,
ZY0103,ZY0103_00029_01,T2,L1_N32b4d1be,1,0.92,
ZY0103,ZY0103_00038_01,T2,L1_N32b4d1be,1,0.88,
