sample_id,source_sample_id,doc_id,block_idx,final_level,final_level_origin,raw_title,path_text,cleaned_title,skip_reason,clean_source,variant_idx,llm_status,llm_attempts,num_variants_per_source,is_t0,doc_granularity,calibration_confidence,calibrated_level
DF0009_00014_01,DF0009_00014,DF0009,14,H1,H1,二、加快完善枢纽规划布局,,加快完善枢纽规划布局,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00017_01,DF0009_00017,DF0009,17,H1,H1,三、加快推进基础设施建设,,加快推进基础设施建设,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00022_01,DF0009_00022,DF0009,22,H1,H1,四、积极培育多元经营主体,,积极培育多元经营主体,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00025_01,DF0009_00025,DF0009,25,H1,H1,五、大力拓展增量市场业务,,大力拓展增量市场业务,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00028_01,DF0009_00028,DF0009,28,H1,H1,六、扎实做好货物运输保障,,扎实做好货物运输保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00032_01,DF0009_00032,DF0009,32,H1,H1,七、提升枢纽智慧绿色水平,,提升枢纽智慧水平,,llm,1,ok,1,2,False,meso,0.92,T2
DF0009_00032_02,DF0009_00032,DF0009,32,H1,H1,七、提升枢纽智慧绿色水平,,提升枢纽绿色水平,,llm,2,ok,1,2,False,meso,0.92,T2
DF0009_00036_01,DF0009_00036,DF0009,36,H1,H1,八、继续做好航空资源保障,,继续做好航空资源保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF0009_00039_01,DF0009_00039,DF0009,39,H1,H1,九、全面改善枢纽运营环境,,全面改善枢纽运营环境,,llm,1,ok,1,1,False,meso,0.92,T2
DF0298_00014_01,DF0298_00014,DF0298,14,H1,H2,（一）加快构建国际航线网络,,加快构建国际航线网络,,llm,1,ok,1,1,False,meso,0.92,T2
DF0298_00015_01,DF0298_00015,DF0298,15,H2,H3,1.完善国际航空货运航线。,（一）加快构建国际航线网络,完善国际航空货运航线,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00017_01,DF0298_00017,DF0298,17,H2,H3,2.提升国际货运中转功能。,（一）加快构建国际航线网络,提升国际货运中转功能,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00019_01,DF0298_00019,DF0298,19,H1,H2,（二）着力培育市场主体,,培育市场主体,,llm,1,ok,1,1,False,meso,0.92,T2
DF0298_00020_01,DF0298_00020,DF0298,20,H2,H3,3.大力招引货运航空公司。,（二）着力培育市场主体,大力招引货运航空公司,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00022_01,DF0298_00022,DF0298,22,H2,H3,4.引进培育总部型货代企业。,（二）着力培育市场主体,引进培育总部型货代企业,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00024_01,DF0298_00024,DF0298,24,H1,H2,（三）大力拓展货源腹地,,大力拓展货源腹地,,llm,1,ok,1,1,False,meso,0.92,T2
DF0298_00025_01,DF0298_00025,DF0298,25,H2,H3,5.加快提升揽货集货能力。,（三）大力拓展货源腹地,加快提升揽货集货能力,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00027_01,DF0298_00027,DF0298,27,H2,H3,6.推进临空经济发展。,（三）大力拓展货源腹地,推进临空经济发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00029_01,DF0298_00029,DF0298,29,H1,H2,（四）持续提升服务保障能力,,持续提升服务保障能力,,llm,1,ok,1,1,False,meso,0.92,T2
DF0298_00030_01,DF0298_00030,DF0298,30,H2,H3,7.加快机场基础设施建设。,（四）持续提升服务保障能力,加快机场基础设施建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00032_01,DF0298_00032,DF0298,32,H2,H3,8.推进集疏运体系建设。,（四）持续提升服务保障能力,推进集疏运体系建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00034_01,DF0298_00034,DF0298,34,H2,H3,9.完善航空物流配套设施。,（四）持续提升服务保障能力,完善航空物流配套设施,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00036_01,DF0298_00036,DF0298,36,H2,H3,10.打造高效便利的营商环境。,（四）持续提升服务保障能力,打造高效便利的营商环境,,llm,1,ok,1,1,False,meso,0.92,T3
DF0298_00038_01,DF0298_00038,DF0298,38,H1,H2,（五）不断强化政策引导支持,,强化政策引导支持,,llm,1,ok,1,1,False,meso,0.92,T2
DF0298_00039_01,DF0298_00039,DF0298,39,H2,H3,11.出台新一轮专项扶持政策。,（五）不断强化政策引导支持,出台新一轮专项扶持政策,,llm,1,ok,1,1,False,meso,0.92,T3
DF0403_00012_01,DF0403_00012,DF0403,12,H1,H1,一、鼓励航空货运市场主体开行全货机定期航线，构建覆盖全球的货运航线网络,,鼓励航空货运市场主体开行全货机定期航线,,llm,1,ok,1,2,False,meso,0.95,T2
DF0403_00012_02,DF0403_00012,DF0403,12,H1,H1,一、鼓励航空货运市场主体开行全货机定期航线，构建覆盖全球的货运航线网络,,构建覆盖全球的货运航线网络,,llm,2,ok,1,2,False,meso,0.95,T2
DF0403_00019_01,DF0403_00019,DF0403,19,H1,H1,二、鼓励航空货运市场主体向成都机场集货，促进航空货量、中转货量增长,,鼓励航空货运市场主体向机场集货,,llm,1,ok,1,3,False,meso,0.95,T2
DF0403_00019_02,DF0403_00019,DF0403,19,H1,H1,二、鼓励航空货运市场主体向成都机场集货，促进航空货量、中转货量增长,,促进航空货量增长,,llm,2,ok,1,3,False,meso,0.95,T2
