parent_id,parent_label,parent_level,child_id,child_label,child_level,edge_depth
ROOT,ROOT,ROOT,L1_N762e6689,战略规划与治理,L1,1
L1_N762e6689,战略规划与治理,L1,L2_N8ed52793,强化政策引导支持,L2,2
L2_N8ed52793,强化政策引导支持,L2,L3_Nef0fcc52,出台新一轮专项扶持政策,L3,3
L2_N8ed52793,强化政策引导支持,L2,L3_Na04441bf,争取民航国家政策支持,L3,3
L2_N8ed52793,强化政策引导支持,L2,L3_Nf8276134,争取海关国家政策支持,L3,3
L2_N8ed52793,强化政策引导支持,L2,L3_Na6c4ae61,给予财政土地人才等地方政策支持,L3,3
L1_N762e6689,战略规划与治理,L1,L2_N6db20b9a,提升服务管理水平,L2,2
L2_N6db20b9a,提升服务管理水平,L2,L3_Nb3d3c087,打造高效便利的口岸营商环境,L3,3
L2_N6db20b9a,提升服务管理水平,L2,L3_N5383b7aa,创新发展管理模式,L3,3
L1_N762e6689,战略规划与治理,L1,L2_Nd5d2d592,强化战略统筹引领,L2,2
L1_N762e6689,战略规划与治理,L1,L2_N242a428d,加强政策协同创新,L2,2
L1_N762e6689,战略规划与治理,L1,L2_N6da1b013,注重规划支撑引领,L2,2
L1_N762e6689,战略规划与治理,L1,L2_N578f3b8a,提升国际货运服务能力,L2,2
L2_N578f3b8a,提升国际货运服务能力,L2,L3_N578f3b8a,提升跨境电子商务国际货运服务能力,L3,3
L2_N578f3b8a,提升国际货运服务能力,L2,L3_N9c47a867,推进智慧物流建设,L3,3
L2_N578f3b8a,提升国际货运服务能力,L2,L2_N578f3b8a_BR_6092b1,航空货运枢纽建设,L3,3
L2_N578f3b8a_BR_6092b1,航空货运枢纽建设,L3,L3_N3810ecfd,推动区域机场合作,L4,4
L2_N578f3b8a_BR_6092b1,航空货运枢纽建设,L3,L3_N4888066d,航空货运发展专项研究与扶持,L4,4
L2_N578f3b8a_BR_6092b1,航空货运枢纽建设,L3,L3_Nb28e82d6,整合盘活低效闲置土地资源强化对航空货运枢纽建设项目用地支持,L4,4
L2_N578f3b8a_BR_6092b1,航空货运枢纽建设,L3,L3_Ne78d3c45,开展航空货运总体规划研究,L4,4
L2_N578f3b8a_BR_6092b1,航空货运枢纽建设,L3,L3_N55664f5d,开展航空货运发展专项研究,L4,4
L2_N578f3b8a,提升国际货运服务能力,L2,L2_N578f3b8a_BR_5b483d,口岸通关优化,L3,3
L2_N578f3b8a_BR_5b483d,口岸通关优化,L3,L3_N0362ceea,加快完善口岸功能,L4,4
L2_N578f3b8a_BR_5b483d,口岸通关优化,L3,L3_Ne7b47d1e,优化口岸营商环境,L4,4
L2_N578f3b8a_BR_5b483d,口岸通关优化,L3,L3_N888d7345,提升通关服务效率,L4,4
L1_N762e6689,战略规划与治理,L1,L1_N762e6689_BR_c43b41,规划顶层设计,L2,2
L1_N762e6689_BR_c43b41,规划顶层设计,L2,L3_N55fb6992,加强规划顶层设计,L3,3
ROOT,ROOT,ROOT,L1_N6e836104,基础设施与枢纽,L1,1
L1_N6e836104,基础设施与枢纽,L1,L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,2
