model_name,sample_id,node_id,node_label,level,depth,l1_label,high_risk,vertical_coherence,horizontal_coherence,label_quality,node_score_raw,node_score_adjusted,flags,issue_summary,suggested_fix_type
A_kimi,N0000_L1_N762e6689,L1_N762e6689,战略规划与治理,L1,1,战略规划与治理,False,3,4,4,3.6,3.4,GRANULARITY_JUMP,子节点粒度严重不均，部分子节点与父节点抽象层级不匹配,SPLIT_NODE
A_kimi,N0001_L1_N6e836104,L1_N6e836104,基础设施与枢纽,L1,1,基础设施与枢纽,False,4,4,4,4.0,4.0,,无明显问题,KEEP
A_kimi,N0002_L1_N70e79b29,L1_N70e79b29,市场主体与网络,L1,1,市场主体与网络,False,2,3,3,2.6,2.2,MIXED_ABSTRACTION_SIBLINGS;GRANULARITY_JUMP,子节点存在重复标签且抽象层级混杂，'市场主体'与'网络'两个异质概念强行并列。,SPLIT_NODE
A_kimi,N0003_L1_N6be998d8,L1_N6be998d8,通关与口岸效能,L1,1,通关与口岸效能,False,3,4,4,3.6,3.2,GRANULARITY_JUMP;MIXED_ABSTRACTION_SIBLINGS,子节点存在重复标签且粒度跳跃，'自贸赋能临空产业'与口岸效能主题关联较弱,SPLIT_NODE
A_kimi,N0004_L1_N6bbea948,L1_N6bbea948,智慧绿色转型,L1,1,智慧绿色转型,False,3,4,4,3.6,2.9,MIXED_ABSTRACTION_SIBLINGS;SEMANTIC_DRIFT_CHILD,子节点中'航空货运转型'与其他子节点粒度不一致，且'智慧绿色转型'作为ROOT直接子节点过于具体，与兄弟节点的战略/治理类主题存在抽象层级差异,MOVE_TO_OTHER_PARENT
A_kimi,N0005_L1_N52f6895e,L1_N52f6895e,区域协同与产业联动,L1,1,区域协同与产业联动,False,3,4,3,3.35,3.15,MIXED_ABSTRACTION_SIBLINGS,子节点粒度混杂，部分子节点与标签核心语义关联较弱,SPLIT_NODE
A_kimi,N0006_L1_N604d4c42,L1_N604d4c42,资源与要素保障,L1,1,资源与要素保障,False,3,4,4,3.6,3.4,GRANULARITY_JUMP,子节点内容混杂，'保障'一词重复出现导致语义泛化，与'资源与要素'的抽象概括存在粒度跳跃,SPLIT_NODE
A_kimi,N0007_L2_N8ed52793,L2_N8ed52793,强化政策引导支持,L2,2,战略规划与治理,False,4,3,4,3.65,2.95,SIBLING_SEMANTIC_DUPLICATE;MIXED_ABSTRACTION_SIBLINGS,"与兄弟节点""加强政策协同创新""存在语义重叠，且兄弟节点粒度与抽象层级混杂",MERGE_WITH_SIBLING
A_kimi,N0008_L2_N6db20b9a,L2_N6db20b9a,提升服务管理水平,L2,2,战略规划与治理,False,3,2,4,2.9,2.2,SEMANTIC_DRIFT_CHILD;MIXED_ABSTRACTION_SIBLINGS,当前节点与父节点'战略规划与治理'语义关联较弱，偏向运营执行层面；兄弟节点混杂战略统筹、政策引导、规划支撑等宏观议题与'提升国际货运服务能力'具体业务，抽象层级严重不一致。,MOVE_TO_OTHER_PARENT
A_kimi,N0009_L2_Nd5d2d592,L2_Nd5d2d592,强化战略统筹引领,L2,2,战略规划与治理,False,3,2,3,2.65,1.95,SIBLING_SEMANTIC_DUPLICATE;MIXED_ABSTRACTION_SIBLINGS,"与兄弟节点""注重规划支撑引领""语义高度重复，且兄弟集包含不同抽象层级内容（如""提升国际货运服务能力""为具体业务）。",MERGE_WITH_SIBLING
