doc_id,sample_id,assigned_l1_id,round,source_head,head_level,confidence,notes
DF0009,DF0009_00011_01,L1_N32b4d1be,1,DF0009_00011_01,T2,0.88,
DF0009,DF0009_00014_01,L1_N32b4d1be,1,DF0009_00014_01,T2,0.88,
DF0009,DF0009_00017_01,L1_N32b4d1be,1,DF0009_00017_01,T2,0.88,
DF0009,DF0009_00022_01,L1_N47d528f3,1,DF0009_00022_01,T2,0.88,
DF0009,DF0009_00025_01,L1_N47d528f3,1,DF0009_00025_01,T2,0.78,
DF0009,DF0009_00028_01,L1_N12cea225,1,DF0009_00028_01,T2,0.78,
DF0009,DF0009_00032_01,L1_Ne2bd7697,1,DF0009_00032_01,T2,0.88,
DF0009,DF0009_00032_02,L1_N12cea225,1,DF0009_00032_02,T2,0.88,
DF0009,DF0009_00036_01,L1_N32b4d1be,1,DF0009_00036_01,T2,0.78,
DF0009,DF0009_00039_01,L1_N32b4d1be,1,DF0009_00039_01,T2,0.82,
DF0403,DF0403_00012_01,L1_N47d528f3,1,DF0403_00012_01,T2,0.88,
DF0403,DF0403_00012_02,L1_N47d528f3,1,DF0403_00012_02,T2,0.82,
DF0403,DF0403_00019_01,L1_N47d528f3,1,DF0403_00019_01,T2,0.88,
DF0403,DF0403_00019_02,L1_N47d528f3,1,DF0403_00019_02,T2,0.78,
DF0403,DF0403_00019_03,L1_N9adcfb9c,1,DF0403_00019_03,T2,0.82,
DF0403,DF0403_00027_01,L1_N47d528f3,1,DF0403_00027_01,T2,0.88,
DF0403,DF0403_00027_02,L1_N47d528f3,1,DF0403_00027_02,T2,0.82,
DF0403,DF0403_00032_01,L1_N32b4d1be,1,DF0403_00032_01,T2,0.88,
DF0403,DF0403_00032_02,L1_N32b4d1be,1,DF0403_00032_02,T2,0.92,
DF0403,DF0403_00038_01,L1_N9adcfb9c,1,DF0403_00038_01,T2,0.88,
DF0403,DF0403_00038_02,L1_N9adcfb9c,1,DF0403_00038_02,T2,0.88,
DF1176,DF1176_00023_01,L1_N32b4d1be,1,DF1176_00023_01,T2,0.82,
DF1176,DF1176_00024_01,L1_N32b4d1be,1,DF1176_00023_01,T2,0.82,
DF1176,DF1176_00026_01,L1_N32b4d1be,1,DF1176_00023_01,T2,0.82,
DF1176,DF1176_00028_01,L1_N9adcfb9c,1,DF1176_00028_01,T2,0.88,
DF1176,DF1176_00029_01,L1_N9adcfb9c,1,DF1176_00028_01,T2,0.88,
DF1176,DF1176_00031_01,L1_N9adcfb9c,1,DF1176_00028_01,T2,0.88,
DF1176,DF1176_00033_01,L1_N47d528f3,1,DF1176_00033_01,T2,0.88,
DF1176,DF1176_00034_01,L1_N47d528f3,1,DF1176_00033_01,T2,0.88,
DF1176,DF1176_00036_01,L1_N47d528f3,1,DF1176_00033_01,T2,0.88,
DF1176,DF1176_00038_01,L1_N47d528f3,1,DF1176_00038_01,T2,0.88,
DF1176,DF1176_00039_01,L1_N47d528f3,1,DF1176_00038_01,T2,0.88,
DF1176,DF1176_00041_01,L1_N47d528f3,1,DF1176_00038_01,T2,0.88,
DF1176,DF1176_00043_01,L1_N32b4d1be,1,DF1176_00043_01,T2,0.82,
DF1176,DF1176_00044_01,L1_N32b4d1be,1,DF1176_00043_01,T2,0.82,
DF1176,DF1176_00046_01,L1_N32b4d1be,1,DF1176_00043_01,T2,0.82,
DF1176,DF1176_00048_01,L1_Nd2e7e4e3,1,DF1176_00048_01,T2,0.78,
DF1176,DF1176_00048_02,L1_Nd2e7e4e3,1,DF1176_00048_02,T2,0.78,
DF1176,DF1176_00049_01,L1_Nd2e7e4e3,1,DF1176_00048_02,T2,0.78,
DF1176,DF1176_00051_01,L1_Nd2e7e4e3,1,DF1176_00048_02,T2,0.78,
DF1759,DF1759_00054_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00056_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00057_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00057_02,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00059_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00059_02,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00061_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00062_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00064_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00064_02,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00064_03,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00074_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00075_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00075_02,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00075_03,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00077_01,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00077_02,L1_N47d528f3,1,DF1759_00054_01,T2,0.82,
DF1759,DF1759_00083_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00085_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00087_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00089_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00091_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00092_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00094_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00094_02,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00094_03,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00096_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00096_02,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00118_01,L1_N32b4d1be,1,DF1759_00083_01,T2,0.82,
DF1759,DF1759_00120_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00122_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00123_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00123_02,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00125_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00126_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00128_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00128_02,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00130_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00131_01,L1_N47d528f3,1,DF1759_00120_01,T2,0.82,
DF1759,DF1759_00138_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00140_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00141_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00143_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00143_02,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00145_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00146_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00148_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00150_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00151_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00153_01,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00153_02,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00153_03,L1_Ne2bd7697,1,DF1759_00138_01,T2,0.92,
DF1759,DF1759_00164_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00166_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00167_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00167_02,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00169_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00169_02,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00171_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00171_02,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00172_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00172_02,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00172_03,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00174_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
DF1759,DF1759_00175_01,L1_N52f6895e,1,DF1759_00164_01,T2,0.82,
ZY0103,ZY0103_00020_01,L1_N32b4d1be,1,ZY0103_00020_01,T2,0.92,
ZY0103,ZY0103_00020_02,L1_N47d528f3,1,ZY0103_00020_02,T2,0.82,
ZY0103,ZY0103_00021_01,L1_N47d528f3,1,ZY0103_00020_02,T2,0.82,
ZY0103,ZY0103_00021_02,L1_N47d528f3,1,ZY0103_00020_02,T2,0.82,
ZY0103,ZY0103_00023_01,L1_N47d528f3,1,ZY0103_00020_02,T2,0.82,
ZY0103,ZY0103_00025_01,L1_N47d528f3,1,ZY0103_00020_02,T2,0.82,
ZY0103,ZY0103_00027_01,L1_N47d528f3,1,ZY0103_00020_02,T2,0.82,
ZY0103,ZY0103_00029_01,L1_N32b4d1be,1,ZY0103_00029_01,T2,0.92,
ZY0103,ZY0103_00030_01,L1_N32b4d1be,1,ZY0103_00029_01,T2,0.92,
ZY0103,ZY0103_00032_01,L1_N32b4d1be,1,ZY0103_00029_01,T2,0.92,
ZY0103,ZY0103_00034_01,L1_N32b4d1be,1,ZY0103_00029_01,T2,0.92,
ZY0103,ZY0103_00036_01,L1_N32b4d1be,1,ZY0103_00029_01,T2,0.92,
ZY0103,ZY0103_00038_01,L1_N32b4d1be,1,ZY0103_00038_01,T2,0.88,
