node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category
L4_Nd3a9b4af,L4,与快递企业深度合作,seed-existing,1,1.0,与快递企业深度合作,keep,,False,L1_N52f6895e
L4_Nf3f8f8c3,L4,实现门到门服务,seed-existing,1,1.0,实现门到门服务,keep,,False,L1_N52f6895e
L4_N0188902d,L4,建设跨境产业园,seed-existing,1,1.0,建设跨境产业园,keep,,False,L1_N52f6895e
L4_N832c0c49,L4,打造中国东盟跨境电商综合服务平台,seed-existing,1,1.0,打造中国东盟跨境电商综合服务平台,keep,,False,L1_N52f6895e
L4_N3494c85c,L4,简单加工等服务成为东盟跨境电商的核心服务商,seed-existing,1,1.0,简单加工等服务成为东盟跨境电商的核心服务商,keep,,False,L1_N52f6895e
L4_N198738ba,L4,打造生鲜集散中心,seed-existing,1,1.0,打造生鲜集散中心,keep,,False,L1_N52f6895e
L4_N3fa16235,L4,打造生鲜加工中心,seed-existing,1,1.0,打造生鲜加工中心,keep,,False,L1_N52f6895e
L4_N32b417e2,L4,打造生鲜交易中心,seed-existing,1,1.0,打造生鲜交易中心,keep,,False,L1_N52f6895e
L4_Naf94a663,L4,推动区港联动,seed-existing,1,1.0,推动区港联动,keep,,False,L1_N52f6895e
L4_N69265178,L4,建立健全中转物流链,seed-existing,1,1.0,建立健全中转物流链,keep,,False,L1_N52f6895e
L4_N5a060ef1,L4,加快临空产业园建设,seed-existing,1,1.0,加快临空产业园建设,keep,,False,L1_N52f6895e
L4_N1513dd0d,L4,加快临空仓储物流快递集群建设,seed-existing,1,1.0,加快临空仓储物流快递集群建设,keep,,False,L1_N52f6895e
L4_Nc28ba84f,L4,支持飞机维修产业加快发展,seed-existing,1,1.0,支持飞机维修产业加快发展,keep,,False,L1_N52f6895e
L4_N59784fee,L4,强化促进两个网络发展政策支持,seed-existing,1,1.0,强化促进两个网络发展政策支持,keep,,False,L1_N604d4c42
L4_Nada24d28,L4,强化促进两个枢纽发展政策支持,seed-existing,1,1.0,强化促进两个枢纽发展政策支持,keep,,False,L1_N604d4c42
L4_N6c7fdcaf,L4,强化电子商务发展政策支持,seed-existing,1,1.0,强化电子商务发展政策支持,keep,,False,L1_N604d4c42
L4_N96f6c2a8,L4,加快构建智慧航空物流综合服务平台,seed-existing,1,1.0,加快构建智慧航空物流综合服务平台,keep,,False,L1_N6bbea948
L4_Ne55e384d,L4,统筹单据电子化建设,seed-existing,1,1.0,统筹单据电子化建设,keep,,False,L1_N6bbea948
L4_N1244f6cb,L4,统筹单据标准化建设,seed-existing,1,1.0,统筹单据标准化建设,keep,,False,L1_N6bbea948
L4_N6e9da33c,L4,实施航空货运全流程定位追踪,seed-existing,1,1.0,实施航空货运全流程定位追踪,keep,,False,L1_N6bbea948
L4_Nea0a385e,L4,实现货物状态可视化,seed-existing,1,1.0,实现货物状态可视化,keep,,False,L1_N6bbea948
L4_N6b11fc79,L4,打造良好的航空货运社区,seed-existing,1,1.0,打造良好的航空货运社区,keep,,False,L1_N6bbea948
