block_id,doc_id,h_level,block_type,original_text,status,pau_id,O,A,A_type,S_scope,S_focus,S_stage,S_type,pau_final,t_level_base,t_level_adjusted,is_leaf_candidate,validation_issues
DF0009_002,DF0009,NA,body,（一）以深化高质量发展为主线，以全面提升上海航空物流枢纽能级为目标，着力补短板、强优势、转动能、促增长，突出重点产业发展保障，强化经营主体作用，强化转运功能提升，全力推进空港型国家物流枢纽建设，加快打造全方位门户复合型国际航空枢纽。,valid,PAU_001,空港型国家物流枢纽建设,推进,substantive,"[""国家"", ""航空""]",[],[],[],空港型国家物流枢纽建设,T1,T3,False,[]
DF0009_002,DF0009,NA,body,（一）以深化高质量发展为主线，以全面提升上海航空物流枢纽能级为目标，着力补短板、强优势、转动能、促增长，突出重点产业发展保障，强化经营主体作用，强化转运功能提升，全力推进空港型国家物流枢纽建设，加快打造全方位门户复合型国际航空枢纽。,valid,PAU_002,国际航空枢纽,打造,substantive,"[""国际"", ""航空"", ""枢纽""]",[],[],[],全方位门户复合型国际航空枢纽,T1,T4,True,[]
DF0009_001,DF0009,H1,title,一、科学统筹推进枢纽建设,valid,PAU_001,空港型国家物流枢纽建设,推进,substantive,"[""国家"", ""航空""]",[],[],[],空港型国家物流枢纽建设,T1,T3,False,[]
DF0009_001,DF0009,H1,title,一、科学统筹推进枢纽建设,valid,PAU_002,全方位门户复合型国际航空枢纽,打造,substantive,"[""国际"", ""航空"", ""枢纽""]",[],[],[],全方位门户复合型国际航空枢纽,T1,T4,False,[]
DF0009_001,DF0009,H1,title,一、科学统筹推进枢纽建设,valid,PAU_003,转运功能,提升,substantive,"[""航空""]",[],[],[],航空转运功能提升,T3,T4,True,[]
DF0009_001,DF0009,H1,title,一、科学统筹推进枢纽建设,valid,PAU_004,经营主体作用,强化,operational,"[""航空"", ""枢纽""]",[],[],[],航空枢纽经营主体作用强化,T3,T5→上限T4,True,[]
DF0009_004,DF0009,H1,title,二、加快完善枢纽规划布局,valid,PAU_001,枢纽规划布局,完善,substantive,"[""枢纽""]",[],[],[],加快完善枢纽规划布局,T2,T3,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_001,业务规模,保持,substantive,"[""全球""]",[],[],[],全球业务规模保持领先,T2,T3,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_002,航线网络,拓展,substantive,[],[],[],[],航线网络持续拓展,T1,T1,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_003,中转功能,增强,substantive,[],[],[],[],中转功能显著增强,T2,T2,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_004,口岸环境,改善,substantive,[],[],[],[],口岸环境持续改善,T2,T2,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_005,经营主体作用,突出,substantive,[],[],[],[],经营主体作用更加突出,T2,T2,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_006,智慧绿色转型,加快,substantive,[],"[""智慧"", ""绿色""]",[],[],智慧绿色转型进一步加快,T2,T3,False,[]
DF0009_003,DF0009,NA,body,（二）到2025年，上海机场年货邮吞吐量超过410万吨，航空货物中转业务量比2019年翻一番，境内航空公司在上海境外航空货运市场份额不低于40%，基地航空公司在上海机场货运吞吐量年增速不低于20%，航空进口货物整体通关时间力争缩短至32小时以内；到2030年，业务规模持续保持全球领先，航线网络持续拓展、中转功能显著增强、口岸环境持续改善、经营主体作用更加突出、智慧绿色转型进一步加快，全面实现“数智化、全球通、全链畅”综合转型升级。,valid,PAU_007,综合转型升级,实现,substantive,[],"[""数智化"", ""全球通"", ""全链畅""]",[],[],实现数智化、全球通、全链畅综合转型升级,T2,T3,False,[]
DF0009_005,DF0009,NA,body,（三）根据形势任务发展需要，适时启动《上海国际航空枢纽战略规划》修编工作，进一步深化明确上海两场功能定位。（责任单位：民航华东地区管理局、市交通委、机场集团）,valid,PAU_001,功能定位,深化明确,substantive,"[""上海""]",[],[],[],上海功能定位,T2,T3,False,[]
DF0009_005,DF0009,NA,body,（三）根据形势任务发展需要，适时启动《上海国际航空枢纽战略规划》修编工作，进一步深化明确上海两场功能定位。（责任单位：民航华东地区管理局、市交通委、机场集团）,valid,PAU_002,修编工作,启动,operational,"[""上海"", ""国际"", ""航空"", ""枢纽""]",[],[],[],上海国际航空枢纽战略规划修编工作,T1,T3,False,[]
DF0009_007,DF0009,H1,title,三、加快推进基础设施建设,valid,PAU_001,基础设施建设,推进,operational,[],[],[],[],加快推进基础设施建设,T2,T2,False,[]
DF0009_006,DF0009,NA,body,（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）,valid,PAU_001,总体规划修编,推进,operational,"[""浦东国际机场""]",[],[],[],加快推进浦东国际机场总体规划修编,T3,T4,True,[]
DF0009_006,DF0009,NA,body,（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）,valid,PAU_002,总体规划修编,推进,operational,"[""虹桥国际机场""]",[],[],[],加快推进虹桥国际机场总体规划修编,T3,T4,True,[]
DF0009_006,DF0009,NA,body,（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）,valid,PAU_003,机场货站布局规划,完善,substantive,[],[],[],[],完善机场货站布局规划,T2,T2,False,[]
DF0009_006,DF0009,NA,body,（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）,valid,PAU_004,货运设施,整合,operational,"[""浦东国际机场""]",[],[],[],整合浦东国际机场现有分散货运设施,T3,T4,True,[]
DF0009_006,DF0009,NA,body,（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）,valid,PAU_005,布局,形成,substantive,"[""浦东国际机场""]",[],[],[],加快形成浦东国际机场“东西两片区”布局,T2,T3,False,[]
DF0009_009,DF0009,NA,body,（六）加快推进浦东国际机场第五跑道军地协议签订、飞行程序调整等前期工作，推动第五跑道尽快开放使用。（责任单位：市发展改革委、民航华东地区管理局、机场集团、民航华东空管局）,valid,PAU_001,前期工作,推进,operational,"[""浦东国际机场""]",[],[],[],浦东国际机场前期工作,T3,T4,False,[]
