child_id,parent_id,decision,confidence,reason,support_counts,human_parent_id,human_action,human_notes,is_new_parent
L2_N649ec6c7,L1_Nc2b39433,llm_assign_new,0.65,样本标题语义宽泛且缺乏具体指向，现有L1虽有部分关键词（如'应急保障'）但整体覆盖不足；'货物运输保障'更偏向运行层面的综合支撑，未被任一L1完整涵盖。,"{""L1_N12cea225"": 1}",L1_Nc2b39433,review,样本标题语义宽泛且缺乏具体指向，现有L1虽有部分关键词（如'应急保障'）但整体覆盖不足；'货物运输保障'更偏向运行层面的综合支撑，未被任一L1完整涵盖。,True
L2_Na75f0b05,L1_N12cea225,llm_assign,0.72,,"{""L1_N12cea225"": 1}",L1_N12cea225,keep,,False
L2_Nfab45a1f,L1_N32b4d1be,llm_assign,0.65,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_Nd8a500a1,L1_N32b4d1be,llm_assign,0.65,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N0a6e8ca5,L1_N32b4d1be,llm_assign,0.85,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N9f46f3fd,L1_N32b4d1be,llm_assign,0.65,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_Nb22f5139,L1_N32b4d1be,llm_assign,0.65,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_Nfeea0571,L1_N32b4d1be,llm_assign,0.72,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_Nb80d9c6e,L1_N32b4d1be,llm_assign,0.85,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_Nff3b5230,L1_N32b4d1be,llm_assign,0.75,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N3d4844b8,L1_N32b4d1be,llm_assign,0.75,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N13abaa5a,L1_Nc2b39433,llm_assign,0.75,,"{""L1_N32b4d1be"": 1}",L1_Nc2b39433,keep,,False
L2_Nc01148b0,L1_N32b4d1be,llm_assign,0.75,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N45607115,L1_N32b4d1be,llm_assign,0.75,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N77ba01f7,L1_N32b4d1be,llm_assign,0.72,,"{""L1_N32b4d1be"": 1}",L1_N32b4d1be,keep,,False
L2_N466127b4,L1_N47d528f3,llm_assign,0.65,,"{""L1_N47d528f3"": 1}",L1_N47d528f3,keep,,False
L2_N1f3bd9b5,L1_N39371e6b,llm_assign_new,0.65,样本语义过于宽泛且缺乏具体业务指向，现有L1均未覆盖‘拓展增量市场’这一战略导向型业务主题；同时仅1个样本不足以支撑可靠挂接,"{""L1_N47d528f3"": 1}",L1_N39371e6b,review,样本语义过于宽泛且缺乏具体业务指向，现有L1均未覆盖‘拓展增量市场’这一战略导向型业务主题；同时仅1个样本不足以支撑可靠挂接,True
L2_N9a2b3002,L1_N4be5a183,llm_assign_new,0.72,现有 L1 中虽有提及'市场主体'和'运输保障'，但均未聚焦航空货运或全货机航线这一具体政策方向；L1_N47d528f3 覆盖面过宽且关键词匹配度低（sim=0.19），不足以准确归类该 L2 节点。,"{""L1_N47d528f3"": 1}",L1_N4be5a183,review,现有 L1 中虽有提及'市场主体'和'运输保障'，但均未聚焦航空货运或全货机航线这一具体政策方向；L1_N47d528f3 覆盖面过宽且关键词匹配度低（sim=0.19），不足以准确归类该 L2 节点。,True
L2_N8c3b0cad,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
