model_name,sample_id,l1_label,path_length,path_labels,path_coherence,granularity_progression,path_score_raw,path_score_adjusted,flags,issue_summary,suggested_fix_type
A_kimi,P0015_L3_N55664f5d,战略规划与治理,5,ROOT>战略规划与治理>提升国际货运服务能力>航空货运枢纽建设>开展航空货运发展专项研究,3,2,2.55,1.15,PATH_SEMANTIC_DRIFT;PATH_GRANULARITY_JUMP,L1'战略规划与治理'与后续'国际货运服务能力'主题偏离，且L3到L4粒度跳跃过大。,INSERT_INTERMEDIATE_NODE
A_kimi,P0014_L3_Ne78d3c45,战略规划与治理,5,ROOT>战略规划与治理>提升国际货运服务能力>航空货运枢纽建设>开展航空货运总体规划研究,3,2,2.55,1.0,PATH_SEMANTIC_DRIFT;PATH_GRANULARITY_JUMP;PATH_OVER_DEEP,L1'战略规划与治理'与L2'提升国际货运服务能力'主题跨度大，L3-L4粒度跳跃且层级过深。,INSERT_INTERMEDIATE_NODE
A_kimi,P0019_L3_N55fb6992,战略规划与治理,4,ROOT>战略规划与治理>规划顶层设计>加强规划顶层设计,3,2,2.55,1.45,PATH_REDUNDANT_CHAIN;PATH_GRANULARITY_JUMP,L2与L3语义高度重复，'规划顶层设计'与'加强规划顶层设计'缺乏实质递进，层级虚设,COMPRESS_CHAIN
A_kimi,P0039_L4_N4b0d0e0c,基础设施与枢纽,6,ROOT>基础设施与枢纽>货运基础设施>提升航空货运枢纽集疏运能力>增强航空货运基础保障能力>优化空港口岸海关指定监管场地布局,3,2,2.55,1.65,PATH_REDUNDANT_CHAIN;PATH_OVER_DEEP,L3与L4语义高度重复，'集疏运能力'与'基础保障能力'实质重叠，导致层级冗余且深度虚增。,COMPRESS_CHAIN
A_kimi,P0038_L4_Nf737d76d,基础设施与枢纽,6,ROOT>基础设施与枢纽>货运基础设施>提升航空货运枢纽集疏运能力>增强航空货运基础保障能力>加强地面综合交通能力匹配,3,2,2.55,1.05,PATH_GRANULARITY_JUMP;PATH_REDUNDANT_CHAIN;PATH_OVER_DEEP,L3-L4-L5三层语义高度重叠，均为'能力'提升，缺乏实质递进，层级过深。,COMPRESS_CHAIN
A_kimi,P0048_L3_Nbccd8d12,基础设施与枢纽,4,ROOT>基础设施与枢纽>货运基础设施>增加机场高峰小时容量,3,2,2.55,1.15,PATH_SEMANTIC_DRIFT;PATH_GRANULARITY_JUMP,L2'货运基础设施'到L3'增加机场高峰小时容量'存在语义漂移与粒度跳层,INSERT_INTERMEDIATE_NODE
A_kimi,P0046_L4_N3220a070,基础设施与枢纽,5,ROOT>基础设施与枢纽>货运基础设施>提升航空货运枢纽集疏运能力>着力打造内畅外联航线网络,4,3,3.55,2.55,PATH_GRANULARITY_JUMP;PATH_OVER_DEEP,L3到L4粒度递进不足，'提升集疏运能力'与'打造航线网络'语义层级接近，存在过度细化。,COMPRESS_CHAIN
A_kimi,P0042_L2_Nb80d9c6e_BR_fdd38b,基础设施与枢纽,5,ROOT>基础设施与枢纽>货运基础设施>提升航空货运枢纽集疏运能力>航线网络建设,3,2,2.55,1.55,PATH_GRANULARITY_JUMP;PATH_OVER_DEEP,L3到L4存在粒度跳跃，'航线网络建设'与'集疏运能力'层级关系错位，且路径过深但语义增量不足。,COMPRESS_CHAIN
A_kimi,P0027_L3_Nd571b089,基础设施与枢纽,5,ROOT>基础设施与枢纽>货运基础设施>提升货运设施保障能力>提升装备专业化水平,3,2,2.55,1.55,PATH_GRANULARITY_JUMP;PATH_OVER_DEEP,L3到L4从'设施保障能力'跳到'装备专业化水平'，主题发生偏移且层级过深但缺乏实质增量。,RENAME_NODE
A_kimi,P0086_L4_Na37f8214,市场主体与网络,7,ROOT>市场主体与网络>航空货运网络>货运航线网络>构建国际航线网络>完善国际航空货运航线>引导国际货运航线布局与制造业需求对接,3,2,2.55,1.05,PATH_GRANULARITY_JUMP;PATH_REDUNDANT_CHAIN;PATH_OVER_DEEP,L2-L3-L4存在语义重复和粒度跳跃，层级过深但实质内容重叠,COMPRESS_CHAIN
