parent,id_a,id_b,label_a,label_b,jaccard,cosine,vectors_computable,heading_a,heading_b
ROOT,L1_N762e6689,L1_Na2c51463,战略规划与治理,政策扶持与资源保障,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_N32b4d1be,战略规划与治理,基础设施与枢纽建设,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_N40f698d4,战略规划与治理,航线网络与集疏运,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_Ne04d7cfa,战略规划与治理,市场主体与服务培育,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_N6749bde4,战略规划与治理,通关与口岸便利化,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_N8e29a85d,战略规划与治理,产业融合与区域联动,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_N05f93386,战略规划与治理,智慧物流与数字化,0.0,0.0,False,,
ROOT,L1_N762e6689,L1_Nb2e2f536,战略规划与治理,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_N32b4d1be,政策扶持与资源保障,基础设施与枢纽建设,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_N40f698d4,政策扶持与资源保障,航线网络与集疏运,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_Ne04d7cfa,政策扶持与资源保障,市场主体与服务培育,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_N6749bde4,政策扶持与资源保障,通关与口岸便利化,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_N8e29a85d,政策扶持与资源保障,产业融合与区域联动,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_N05f93386,政策扶持与资源保障,智慧物流与数字化,0.0,0.0,False,,
ROOT,L1_Na2c51463,L1_Nb2e2f536,政策扶持与资源保障,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_N32b4d1be,L1_N40f698d4,基础设施与枢纽建设,航线网络与集疏运,0.0,0.0,False,,
ROOT,L1_N32b4d1be,L1_Ne04d7cfa,基础设施与枢纽建设,市场主体与服务培育,0.0,0.0,False,,
ROOT,L1_N32b4d1be,L1_N6749bde4,基础设施与枢纽建设,通关与口岸便利化,0.0,0.0,False,,
ROOT,L1_N32b4d1be,L1_N8e29a85d,基础设施与枢纽建设,产业融合与区域联动,0.0,0.0,False,,
ROOT,L1_N32b4d1be,L1_N05f93386,基础设施与枢纽建设,智慧物流与数字化,0.0,0.0,False,,
ROOT,L1_N32b4d1be,L1_Nb2e2f536,基础设施与枢纽建设,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_N40f698d4,L1_Ne04d7cfa,航线网络与集疏运,市场主体与服务培育,0.0,0.0,False,,
ROOT,L1_N40f698d4,L1_N6749bde4,航线网络与集疏运,通关与口岸便利化,0.0,0.0,False,,
ROOT,L1_N40f698d4,L1_N8e29a85d,航线网络与集疏运,产业融合与区域联动,0.0,0.0,False,,
ROOT,L1_N40f698d4,L1_N05f93386,航线网络与集疏运,智慧物流与数字化,0.0,0.0,False,,
ROOT,L1_N40f698d4,L1_Nb2e2f536,航线网络与集疏运,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_Ne04d7cfa,L1_N6749bde4,市场主体与服务培育,通关与口岸便利化,0.0,0.0,False,,
ROOT,L1_Ne04d7cfa,L1_N8e29a85d,市场主体与服务培育,产业融合与区域联动,0.0,0.0,False,,
ROOT,L1_Ne04d7cfa,L1_N05f93386,市场主体与服务培育,智慧物流与数字化,0.0,0.0,False,,
ROOT,L1_Ne04d7cfa,L1_Nb2e2f536,市场主体与服务培育,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_N6749bde4,L1_N8e29a85d,通关与口岸便利化,产业融合与区域联动,0.0,0.0,False,,
ROOT,L1_N6749bde4,L1_N05f93386,通关与口岸便利化,智慧物流与数字化,0.07692307692307693,0.0,False,,
