t5_node_id,unit_text,source_snippet,anchor_parent_id,source_doc_id,source_block_range,parent_title_text
T5_DF0009_00015_01,修编航空枢纽战略规划,适时启动《上海国际航空枢纽战略规划》修编工作,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_02,明确机场功能定位,进一步深化明确上海两场功能定位,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_03,修编机场总体规划,加快推进浦东国际机场、虹桥国际机场总体规划修编,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_04,完善货站布局规划,完善机场货站布局规划,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_05,整合货运设施布局,整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00018_01,建设空港物流枢纽,推动上海空港型国家物流枢纽建设,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_02,投运智能货站,加快建成并投运浦东国际机场智能货站,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_03,建设集中查验中心,加快建成并投运……集中查验中心等基础设施,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_04,启动货运区处理中心,抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_05,建设航空物流中心,亚太一站式航空物流中心等项目建设,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_06,推进跑道前期工作,加快推进浦东国际机场第五跑道军地协议签订、飞行程序调整等前期工作,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_07,开放使用第五跑道,推动第五跑道尽快开放使用,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_08,完善机场交通规划,持续完善上海两场及周边地区综合交通规划方案,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_09,建设对外道路通道,加快推进周邓快速路、漕宝快速路、G15等机场地区对外道路通道项目建设,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_10,扩大货运机队规模,鼓励支持国内航空公司扩大货运机队规模,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00018_11,吸引外航增投运力,吸引国外航空公司加大在沪运力投放力度,DF0009_00017_01,DF0009,18-21,三、加快推进基础设施建设
T5_DF0009_00023_01,支持航司快递企业设总部,支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心,DF0009_00022_01,DF0009,23-24,四、积极培育多元经营主体
T5_DF0009_00023_02,吸引国际货代落户,吸引具有国际影响力的货运代理企业落户上海,DF0009_00022_01,DF0009,23-24,四、积极培育多元经营主体
T5_DF0009_00023_03,提升本地货代竞争力,培育提升本地货运代理企业的服务竞争力,DF0009_00022_01,DF0009,23-24,四、积极培育多元经营主体
T5_DF0009_00023_04,布局前置仓集货仓,布局建设前置仓和集货仓,DF0009_00022_01,DF0009,23-24,四、积极培育多元经营主体
T5_DF0009_00023_05,完善专业物流体系,完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障,DF0009_00022_01,DF0009,23-24,四、积极培育多元经营主体
T5_DF0009_00023_06,支持建设海外货站,支持航空物流企业立足上海布局建设海外货站,DF0009_00022_01,DF0009,23-24,四、积极培育多元经营主体
T5_DF0009_00026_01,优化空空中转模式,加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。,DF0009_00025_01,DF0009,26-27,五、大力拓展增量市场业务
T5_DF0009_00026_02,强化货运中转功能,推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。,DF0009_00025_01,DF0009,26-27,五、大力拓展增量市场业务
T5_DF0009_00026_03,发展多式联运业务,大力发展多式联运业务，加快推进东方枢纽空铁一体化规划建设，持续推动空铁联运业务拓展。,DF0009_00025_01,DF0009,26-27,五、大力拓展增量市场业务
T5_DF0009_00029_01,保障高附加值产品运输,持续加大电子芯片、生物医药等高附加值产品运输保障,DF0009_00028_01,DF0009,29-31,六、扎实做好货物运输保障
T5_DF0009_00029_02,优化航空口岸货运结构,不断优化上海航空口岸货物运输结构,DF0009_00028_01,DF0009,29-31,六、扎实做好货物运输保障
T5_DF0009_00029_03,建跨境电商专属平台,建立服务跨境电商专属平台,DF0009_00028_01,DF0009,29-31,六、扎实做好货物运输保障
T5_DF0009_00029_04,组建专属货运机队,组建跨境电商专属运输机队（自购、租赁货机）,DF0009_00028_01,DF0009,29-31,六、扎实做好货物运输保障
T5_DF0009_00029_05,开设专属货运航线,开设跨境电商专属航线航班,DF0009_00028_01,DF0009,29-31,六、扎实做好货物运输保障
