t5_node_id,unit_text,source_snippet,anchor_parent_id,source_doc_id,source_block_range,parent_title_text
T5_DF0009_00015_01,修编航空枢纽战略规划,适时启动《上海国际航空枢纽战略规划》修编工作,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_02,明确机场功能定位,进一步深化明确上海两场功能定位,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_03,修编机场总体规划,加快推进浦东国际机场、虹桥国际机场总体规划修编,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_04,完善货站布局规划,完善机场货站布局规划,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0009_00015_05,整合货运设施布局,整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局,DF0009_00014_01,DF0009,15-16,二、加快完善枢纽规划布局
T5_DF0298_00016_01,制定差异化航线培育计划,"按照“成熟一条、开行一条、稳固一条""的原则，制定差异化的航线培育计划。",DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_02,恢复国际全货机航线,加快恢复受疫情影响停运的国际全货机航线和腹舱带货的客运航班,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_03,提升客改货航班为全货机航线,及时将客改货航班提升为稳固运行的国际全货机航线,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_04,加密洲际全货机航线,加密拓展美洲、欧洲等洲际全货机航线,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_05,拓展亚洲全货机航点,加密至大阪、台北、香港等亚洲全货机航线,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_06,拓展新兴市场航点,拓展东盟、中东欧等多个国家航点,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_07,稳固重点方向全货机航线,稳固开行至河内、布达佩斯等方向的国际全货机航线3条以上,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_08,扩大机场时刻容量供给,扩大机场时刻容量供给，合理安排8时至22时国际货运航班时刻,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00016_09,提升高峰时刻容量,到2025年，力争宁波机场高峰时刻容量提升至22架次/小时,DF0298_00015_01,DF0298,16-16,1.完善国际航空货运航线。
T5_DF0298_00037_01,延长货运堆存免费期,延长宁波机场货运区免费堆存时间，降低收费标准,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_02,降低货运收费标准,降低收费标准,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_03,引进专业检测机构,引进具备航空货物运输条件鉴定、磁性安全检测等资质的第三方专业检测机构,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_04,提升前置安检能力,有效提升电子产品、汽车零部件、危险品、超常规货物在装载启运前的前置性安全查验能力,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_05,深化通关申报改革,深入推进提前申报、两步申报、两段准入等通关改革,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_06,强化口岸查验保障,配强机场口岸查验工作力量，落实必要经费保障,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_07,提升24小时通关能力,提升宁波机场24小时通关服务能力,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_08,建设航空物流信息平台,推进航空物流相关信息平台建设,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_09,推动平台互联数据共享,实现航空物流领域平台互联、数据共享,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_10,研究保税中心升级综保区,适时启动栎社保税物流中心升级为综合保税区的可行性研究,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0298_00037_11,分阶段申报综合保税区,分阶段开展综合保税区申报工作,DF0298_00036_01,DF0298,37-37,10.打造高效便利的营商环境。
T5_DF0459_00024_01,引进骨干航司加大运力,积极引进国内外骨干航空公司加大运力投放,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_02,开通洲际全货机航线,重点开通洲际全货机航线,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_03,提升国际航班腹舱载运率,提高国际客运航班腹舱载运率,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_04,扩大基地货运航司机队,支持基地货运航空公司持续扩大机队规模,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_05,布局国际货运航线网络,结合市场需求布局国际货运航线网络,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
